"","Horizon","Estimate","Standard_Error"
"estimate",12,-0.0528342255990622,0.215199044335641
"estimate1",24,0.287163577849752,0.738433367375596
"estimate2",36,1.01308373950557,1.33572264804232
"estimate3",48,1.86494146156054,2.05104485850392
"estimate4",60,1.66469065250021,2.906293343825
"estimate5",72,1.71254541816942,4.04497025406123
"estimate6",84,2.30222587977249,4.29980276054819
"estimate7",96,2.39225835165345,5.14964996268685
"estimate8",108,3.05330068869235,5.73302708271186
"estimate9",120,3.52375612400219,6.49799932520335
