"","Horizon","Estimate","Standard_Error"
"estimate",12,-0.00856112488556055,0.0429824071190734
"estimate1",24,-0.0244799494861674,0.0559818386596358
"estimate2",36,-0.0261015555774069,0.0588952402619725
"estimate3",48,-0.0234984626951737,0.0618260236922731
"estimate4",60,-0.0271972567286068,0.0632558250949931
"estimate5",72,-0.0160192173057008,0.0656521353721566
"estimate6",84,-0.0156773811510729,0.0668950645380883
"estimate7",96,-0.0130862738899211,0.0645689539882321
"estimate8",108,-0.0270679149685839,0.0621517077570947
"estimate9",120,0.0190641316851214,0.099537775377213
