"","Horizon","Estimate","Standard_Error"
"estimate",12,-0.00632967713413082,0.0350354954473851
"estimate1",24,-0.0173263278295841,0.0408846033725116
"estimate2",36,-0.0132843964910098,0.0460883861171044
"estimate3",48,-0.005694663688341,0.0477619744609748
"estimate4",60,-0.0233177732959923,0.047797749731736
"estimate5",72,-0.0295752429186603,0.0468803958045013
"estimate6",84,-0.0277310249125202,0.0463191433954578
"estimate7",96,-0.0280227708302822,0.0460342348497057
"estimate8",108,-0.0249194161131831,0.0476273758241699
"estimate9",120,-0.0229098123618955,0.0473017062214533
