"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,-0.0359093476211022,0.0613132606893588
1,24,-0.216889797439578,0.293736716253464
1,36,-0.227624375532607,0.646999986175925
1,48,-0.094638625314271,1.0754463065117
1,60,0.0333024816656884,1.60086433700411
1,72,0.317973175377454,2.16541978418236
1,84,0.467452197425882,2.74395047831542
1,96,-0.0814453485738946,3.40060302258645
1,108,-1.31987389109428,4.20492733133008
1,120,-2.65538659659226,5.02941477794207
2,12,-0.0073791197348589,0.0966756775496516
2,24,-0.00914963801314138,0.375533111408806
2,36,0.0324591742652404,0.762492752753389
2,48,0.0586833227628523,1.26575903639503
2,60,-0.0933532032405307,1.86282312673725
2,72,-0.267407931106732,2.50074179315846
2,84,-0.80098306262353,3.16561602483289
2,96,-0.979745859527542,3.89302741709041
2,108,-1.29155114825495,4.66729043599275
2,120,-2.79713745030097,5.62884388274758
3,12,0.0152110833847248,0.0963219563138644
3,24,0.034023146103436,0.356827657996871
3,36,-0.124690622681716,0.721739456873924
3,48,-0.468352184119995,1.18501654034021
3,60,-0.939202393522226,1.7227040921364
3,72,-1.43552959891731,2.29448920795481
3,84,-2.33997125299839,2.90750822181664
3,96,-3.39496400104455,3.6185686898226
3,108,-5.20493023214694,4.35185585628485
3,120,-7.33598908352142,5.08004355816944
4,12,-0.0528439804010143,0.115403176166797
4,24,-0.279022116017727,0.416416832004503
4,36,-0.597199337384541,0.770335136683612
4,48,-0.998675544375831,1.21741537195014
4,60,-1.17626363211764,1.73103020989605
4,72,-1.69106258863643,2.30871453584626
4,84,-2.4816863102204,2.94411679747813
4,96,-3.49787552817938,3.6502432542334
4,108,-4.50625567357324,4.35731188466333
4,120,-5.7445351777868,5.18952860767868
5,12,0.0761509060229131,0.096423202806021
5,24,0.331043615827826,0.32903878719204
5,36,0.433535098467857,0.666968732386879
5,48,0.0513077501332912,1.1247580542985
5,60,-0.565287245166472,1.64827594160356
5,72,-1.27521763808438,2.18122744513478
5,84,-1.52635737159976,2.81649841143504
5,96,-2.02420884605996,3.57259164201964
5,108,-3.01244855839662,4.34656481414848
5,120,-3.4988763214855,5.29474576654545
6,12,-0.0589516572706505,0.0825130363732964
6,24,-0.0648979461917806,0.332402691406357
6,36,-0.153706578506141,0.694684081711008
6,48,-0.272850360953915,1.15116830127126
6,60,-0.274760354398747,1.7056669771354
6,72,-0.143582881478883,2.29910206909619
6,84,-0.172705795689754,2.91288096554938
6,96,-0.12969192450445,3.58855159747577
6,108,-0.196208961893479,4.35913288315837
6,120,-0.250717276801495,5.18292285471545
7,12,-0.00291596568590487,0.0781406206359931
7,24,0.198284057747415,0.293943905347071
7,36,0.352399299804923,0.610453564456622
7,48,0.590547785086548,1.02481996804132
7,60,0.81035317608129,1.52223802061028
7,72,0.707769841511202,2.06865469217092
7,84,0.326930677682673,2.67528169185363
7,96,-0.132874645642358,3.38758228797382
7,108,-0.101481753275627,4.10104024988328
7,120,0.56437684665563,5.01062138523086
8,12,0.0181153495802758,0.103129325043193
8,24,-0.011212165866855,0.317924153633304
8,36,-0.345875047917816,0.63683928885707
8,48,-0.575004776080604,1.04892559198034
8,60,-0.637471484925088,1.5261283131612
8,72,-1.20269071812972,2.05148207210714
8,84,-2.08434996279592,2.60920268284134
8,96,-2.9456595453125,3.21465243591216
8,108,-3.97070209418988,3.79145438406094
8,120,-4.70557497603171,4.44330715803948
9,12,0.029936543213752,0.0849823928827772
9,24,0.167113799983868,0.322389228398003
9,36,0.550509999417217,0.691248081874916
9,48,1.12267465102021,1.17400587940841
9,60,1.83811013253236,1.71118973641336
9,72,3.06914283430764,2.28513186665124
9,84,3.65119020961487,2.94690284850254
9,96,4.20762417329475,3.71284907433449
9,108,4.83126839144927,4.58030029772004
9,120,5.00659335525136,5.44635371861503
10,12,-0.110097529847045,0.120800351724724
10,24,-0.402988130358135,0.368574601190946
10,36,-0.752160441791798,0.685036416287011
10,48,-0.935819120889424,1.09410251699961
10,60,-0.58761886196626,1.5835028858653
10,72,-0.509875772607518,2.16506632289354
10,84,-0.0880259784417822,2.84549618129586
10,96,0.84791076523253,3.60430025375946
10,108,1.37892325618358,4.3949114395251
10,120,1.33841205599934,5.30437091690382
