"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,-0.00335049166968475,0.0205622068069953
1,24,-0.0163315136739924,0.0319999347705077
1,36,-0.0418329996329265,0.0449385940610116
1,48,-0.0311405953725684,0.0557277726160289
1,60,-0.0217243619965841,0.0670537404504174
1,72,-0.0313803277425434,0.076031544492436
1,84,-0.0296188083533482,0.090553735095753
1,96,-0.0248093419653003,0.0937887299826825
1,108,0.0171893929584798,0.165278884137351
1,120,-0.0290880578232628,0.171740297889917
2,12,-0.000343914740084189,0.0202423577966032
2,24,-0.0248210107093523,0.0318120558775777
2,36,0.00592947411658756,0.0407803622534535
2,48,0.0201900953112928,0.044977876534568
2,60,0.00903562995482061,0.0485443027575158
2,72,-0.0824857214795976,0.0653271230735688
2,84,-0.0610432715006906,0.0697215225241856
2,96,-0.119623390427273,0.0882388872056291
2,108,-0.139965043058115,0.0956035378678926
2,120,-0.130317116133312,0.0981039115216532
3,12,0.0161521817466759,0.0250171570922842
3,24,-0.011893900112907,0.0351193794000619
3,36,-0.0366709697536146,0.0395840794581556
3,48,-0.0655477805288213,0.0494980295149754
3,60,-0.0467827160956018,0.0587601102947072
3,72,-0.0503231107745377,0.0671927032063009
3,84,-0.112854295364971,0.073728182361895
3,96,-0.0899595821789719,0.0779814990494532
3,108,-0.142346098001792,0.108274277182999
3,120,-0.213522334016502,0.124347997476848
4,12,-0.0130599410780003,0.0218253537068667
4,24,-0.0253173696712754,0.0275972401949191
4,36,-0.0379207941663353,0.0344932300571821
4,48,-0.0478940874149836,0.0417933381090388
4,60,-0.0446672897965763,0.0515258919771922
4,72,-0.0537961479351341,0.0582441930357481
4,84,-0.0778942137837263,0.0758633841725539
4,96,-0.0722606488395638,0.0806009220438712
4,108,-0.0490442615610047,0.094064990760045
4,120,-0.091036124481006,0.106816264516229
5,12,0.00172607968368299,0.0251063931124335
5,24,-0.00402468298463662,0.0327877137754586
5,36,-0.0181609654800094,0.0384869994060906
5,48,-0.0121808011314495,0.0433330839590775
5,60,0.0303970662888728,0.0524380220851573
5,72,0.0544412970987792,0.0655211715318917
5,84,0.0709840936591131,0.0741945651140864
5,96,0.0955703600236866,0.0832939729966311
5,108,0.130764255979767,0.0953562317701517
