"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","Cause","RT_year","Age","time","event","BED_DI","BED_DD","W_hat"
"Sex",0,1,0.240546888662069,1,1,0.427595172880439,1,1,1,1,1,1,0.00162147014003102
"Smoking_PY",0.127062848213118,0,0.00629882833108801,7.5408085641916e-37,1,1.79609494926574e-07,0.00108779898453867,1.72501335288197e-06,1.75985511191423e-05,3.06753306564782e-24,1,0.000286569244803126,1.28986876229502e-18
"Stage_numeric",0.00308393447002653,8.07542093729232e-05,0,3.03530092035471e-07,1,3.10373519936801e-38,1,0.000148302546934824,1,1,0.0440930148122424,1.79318714530695e-21,3.28060460968254e-102
"HPV_Positive",0.0223985261207372,9.66770328742513e-39,3.89141143635219e-09,0,2.69941781993304e-55,1.11988698663622e-07,2.57371076711019e-09,1.69568286762327e-06,9.2479730679363e-06,3.17379976178726e-31,1,8.26695484751529e-05,4.05113484984317e-19
"HPV_Unknown",0.605299210900528,0.046296319830335,0.916239223018542,3.46079207683723e-57,0,1,1.36483930736907e-18,1,1,0.681389975373617,1,0.431045538930941,1
"Cause",0.00548198939590307,2.30268583239198e-09,3.97914769149745e-40,1.43575254696951e-09,0.879496706993224,0,1,3.36707983056874e-45,5.57351849707271e-05,6.73606523786794e-17,3.78256005320968e-09,3.4013834987482e-49,4.74482395011964e-142
"RT_year",0.824427622367277,1.39461408274189e-05,0.0163167524094015,3.29962918860281e-11,1.7497939838065e-20,0.0152604714518668,0,1,1.24372654601807e-53,1.81788888930434e-20,0.0139456331130129,3.30456858072858e-18,0.0156958136678179
"Age",0.0251486911991033,2.21155558061791e-08,1.90131470429261e-06,2.17395239438881e-08,0.421229531991839,4.31676901354967e-47,0.0427607987263062,0,1.57065497857529e-08,1.89597659389439e-12,1,0.00107243513253716,1.99545790221344e-124
"time",0.970236534735959,2.25622450245414e-07,0.0562223486965203,1.18563757281235e-07,0.0710361191458372,7.1455365347086e-07,1.59452121284367e-55,2.01366022894268e-10,0,1.60782526998504e-53,1,1,0.0116119838698442
"event",0.105311184693465,3.93273469954849e-26,0.602549335532881,4.06897405357341e-33,0.00873576891504637,8.63598107418967e-19,2.33062678115941e-22,2.43073922294152e-14,2.06131444869877e-55,0,0.0890659875985073,4.14014133719529e-08,4.93894769708035e-15
"BED_DI",0.0344733046453238,0.0809578356224475,0.000565295061695416,0.816568329491789,0.172107308060562,4.84943596565343e-11,0.00017879016811555,0.114957397386195,0.542458615615318,0.0011418716358783,0,5.01249558813e-85,9.9152511225345e-23
"BED_DD",0.0571231822777359,3.67396467696316e-06,2.29895787859866e-23,1.0598660060917e-06,0.00552622485808899,4.3607480753182e-51,4.23662638554946e-20,1.3749168365861e-05,0.715916691794188,5.30787350922474e-10,6.42627639503846e-87,0,9.92303810180508e-138
"W_hat",2.07880787183464e-05,1.65367790037823e-20,4.20590334574685e-104,5.19376262800406e-21,0.784452481338515,6.08310762835851e-144,0.00020122838035664,2.5582793618121e-126,0.000148871588074925,6.33198422702609e-17,1.27118604135058e-24,1.27218437202629e-139,0
