"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","Cause","RT_year","Age","time","event","BED_DI","BED_DD","W_hat"
"Sex",1,0.0457622215698648,0.0886269872389711,0.068444700300306,0.0155071846499959,0.0831960979401107,-0.00665737379813853,-0.0671160357475413,0.00111965635809419,0.0485736582776365,-0.0633883766720293,0.0570402285837176,0.127203572824682
"Smoking_PY",0.0457622215698648,1,-0.117884356489458,-0.376205710232972,0.0597434747062768,-0.177864063996076,-0.129824947610732,0.166707471893686,-0.154416588344604,0.309485312987829,-0.0523331725637984,-0.138241414137901,-0.273237557042319
"Stage_numeric",0.0886269872389711,-0.117884356489458,1,0.1753402248884,0.00315602398699457,0.382650133136331,0.0719788887382977,-0.142221295706272,-0.0572480083601059,-0.0156254815304748,-0.103184423435718,0.292307132933034,0.587153553950647
"HPV_Positive",0.068444700300306,-0.376205710232972,0.1753402248884,1,-0.452175269829112,0.180105595817483,0.197075836774515,-0.166794870714683,0.15791647172122,-0.348428260192966,0.00696065885471825,0.145664064010896,0.276704632608851
"HPV_Unknown",0.0155071846499959,0.0597434747062768,0.00315602398699457,-0.452175269829112,1,-0.00454944530142522,-0.273067140275463,-0.0241318212144587,0.054132568656616,0.0785667348087431,-0.04095798884999,-0.0831180926340322,-0.00820775937854035
"Cause",0.0831960979401107,-0.177864063996076,0.382650133136331,0.180105595817483,-0.00454944530142522,1,0.0727077821040281,-0.413034957025237,0.147942574103202,-0.261000482074488,0.195413563096308,0.429145302354066,0.666609018688511
"RT_year",-0.00665737379813853,-0.129824947610732,0.0719788887382977,0.197075836774515,-0.273067140275463,0.0727077821040281,1,0.0607417415411303,-0.446069072161917,-0.285759963323046,0.112093600005412,0.270383875568604,0.111208569546936
"Age",-0.0671160357475413,0.166707471893686,-0.142221295706272,-0.166794870714683,-0.0241318212144587,-0.413034957025237,0.0607417415411303,1,-0.189136164231539,0.225864897007708,0.0472754653854278,-0.129917434691029,-0.634280271837193
"time",0.00111965635809419,-0.154416588344604,-0.0572480083601059,0.15791647172122,0.054132568656616,0.147942574103202,-0.446069072161917,-0.189136164231539,1,-0.44565524768458,0.018276478872921,-0.0109203199075441,0.113451961378384
"event",0.0485736582776365,0.309485312987829,-0.0156254815304748,-0.348428260192966,0.0785667348087431,-0.261000482074488,-0.285759963323046,0.225864897007708,-0.44565524768458,1,-0.0973852077352394,-0.184736769715601,-0.246940608550474
"BED_DI",-0.0633883766720293,-0.0523331725637984,-0.103184423435718,0.00696065885471825,-0.04095798884999,0.195413563096308,0.112093600005412,0.0472754653854278,0.018276478872921,-0.0973852077352394,1,0.544489547131082,0.300257142252242
"BED_DD",0.0570402285837176,-0.138241414137901,0.292307132933034,0.145664064010896,-0.0831180926340322,0.429145302354066,0.270383875568604,-0.129917434691029,-0.0109203199075441,-0.184736769715601,0.544489547131082,1,0.659044011281625
"W_hat",0.127203572824682,-0.273237557042319,0.587153553950647,0.276704632608851,-0.00820775937854035,0.666609018688511,0.111208569546936,-0.634280271837193,0.113451961378384,-0.246940608550474,0.300257142252242,0.659044011281625,1
