"","Horizon","CATE_Estimate_with_noise_SP","Standard_Error"
"1",12,0.117226111359459,0.0262533946472272
"2",24,0.14208783825354,0.0309212150085649
"3",36,0.153530684996043,0.0322932275314614
"4",48,0.166244842213087,0.035088282983974
"5",60,0.171585911806935,0.03545648192863
"6",72,0.1515338016618,0.035109186078235
"7",84,0.152822229113562,0.0353794331981684
"8",96,0.148225461699219,0.0351660081905456
"9",108,0.151674094069753,0.0349419424182935
"10",120,0.149587432039095,0.0348077128245612
