"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DI_SHAP","BED_DD_SHAP"
"Sex",1,0.0784642166122464,-0.0106934164829444,0.0375517641819225,0.00354827097679889,0.0149884261317432,0.0417260217302242,-0.0158536992950706,0.0498706358136163,0.0194934128257785,0.0395732070287963,-0.795766963200738,0.0129158677110785,-0.0504841359304347,-0.0475190030567678,0.00462482919322995,-0.019463542385509,0.0282361455502583,0.00896504202696469,-0.0245451591298588
"Smoking_PY",0.0784642166122464,1,0.00460549363308026,-0.377699349961789,0.033236279334568,-0.0640058535989363,0.0937401746360187,0.0502475807500663,0.0554460805864636,0.590893268259878,0.31651767814974,-0.0490335730088132,0.43743491663993,0.00964240550277559,0.226875439134983,-0.0237326116981131,0.0465473981611199,0.00553323466205142,-0.0437367696243778,-0.0251219334765238
"Stage_numeric",-0.0106934164829444,0.00460549363308026,1,0.0629078705737659,-0.0151207748479432,-0.0826532847341366,0.145611267348278,-0.0610546569635671,-0.00902987504410066,0.0962861474455581,0.0419755473730121,0.0184359058464901,0.00462459835087146,0.716241241267226,-0.0306492193629118,0.0130463495268006,0.00339250042260606,0.0408239937620105,0.0481752203918725,0.0471440244839313
"HPV_Positive",0.0375517641819225,-0.377699349961789,0.0629078705737659,1,-0.456080991664629,0.171788660015968,-0.0778865785786194,0.00498589005512885,-0.0420995364960007,-0.34088031036966,-0.303270028526175,-0.0440256116115917,-0.18500715064079,0.0474535864572311,-0.522732168772945,0.361516774055013,-0.0457024543844478,-0.0108073221913082,-0.0151625604406546,0.0435502981884315
"HPV_Unknown",0.00354827097679889,0.033236279334568,-0.0151207748479432,-0.456080991664629,1,-0.245324664036249,-0.0484810024462326,-0.0155995760010076,-0.022720577602778,-0.0074924228494547,0.103961062256661,0.0116568784998975,0.0185919384227902,-0.0129354154905972,0.238611210691841,-0.871189113836975,0.0249989206789264,-0.0268342471669192,0.0600511214352025,-0.0168130900414573
"RT_year",0.0149884261317432,-0.0640058535989363,-0.0826532847341366,0.171788660015968,-0.245324664036249,1,0.114727631799144,0.0643280967423216,0.2186879319121,-0.157400853403125,-0.219797336143899,-0.0392439648275464,-0.0529105995902097,-0.0232207904518161,-0.098486592362719,0.231099683010693,-0.256239727739737,0.0802148110486878,-0.116860748236949,-0.243145136423078
"Age",0.0417260217302242,0.0937401746360187,0.145611267348278,-0.0778865785786194,-0.0484810024462326,0.114727631799144,1,0.149980481354548,0.217634907327476,0.700499442366055,0.429565211766355,-0.030674645567119,0.0147514288509841,0.130475119452298,0.0080583453076818,0.0814159139750133,-0.053578007941376,0.342202289702653,-0.114100930667544,-0.0952236016092757
"BED_DI",-0.0158536992950706,0.0502475807500663,-0.0610546569635671,0.00498589005512885,-0.0155995760010076,0.0643280967423216,0.149980481354548,1,0.566549464025113,0.123064577302362,0.0195372185754834,-0.00200502536586618,0.0192298520445208,-0.0337537422564612,-0.0159738742240348,0.00646154075274874,-0.0048250331724935,0.0503468692665323,-0.577147568968187,-0.398133667471406
"BED_DD",0.0498706358136163,0.0554460805864636,-0.00902987504410066,-0.0420995364960007,-0.022720577602778,0.2186879319121,0.217634907327476,0.566549464025113,1,0.166826453345808,0.042283129177055,-0.0639585223243915,0.018503358841827,-0.00955217873048929,0.00412698299287668,0.0172342750213909,-0.0222425173245498,0.0791326065315964,-0.568776461529011,-0.80577544473775
"predictions",0.0194934128257785,0.590893268259878,0.0962861474455581,-0.34088031036966,-0.0074924228494547,-0.157400853403125,0.700499442366055,0.123064577302362,0.166826453345808,1,0.597784919669261,0.022080276938629,0.291568853968787,0.0856499890990388,0.202249325937702,0.0432686919570482,0.0941347916455309,0.250741464541812,-0.0906983368201953,-0.0426593987713103
"variance.estimates",0.0395732070287963,0.31651767814974,0.0419755473730121,-0.303270028526175,0.103961062256661,-0.219797336143899,0.429565211766355,0.0195372185754834,0.042283129177055,0.597784919669261,1,-0.00564896236094624,0.091444550118165,0.0364493125927824,0.153933401570521,-0.0447377695427962,-0.00333556279954931,0.222124529097861,-0.0472947100291219,0.0201205621843022
"Sex_SHAP",-0.795766963200738,-0.0490335730088132,0.0184359058464901,-0.0440256116115917,0.0116568784998975,-0.0392439648275464,-0.030674645567119,-0.00200502536586618,-0.0639585223243915,0.022080276938629,-0.00564896236094624,1,-0.00777664551986224,-0.0280450151676616,-0.0338249570392751,-0.052829311119026,0.118055264847576,-0.056346644355548,0.0404242584918439,0.060446245266237
"Smoking_PY_SHAP",0.0129158677110785,0.43743491663993,0.00462459835087146,-0.18500715064079,0.0185919384227902,-0.0529105995902097,0.0147514288509841,0.0192298520445208,0.018503358841827,0.291568853968787,0.091444550118165,-0.00777664551986224,1,-0.231608262370974,0.72475631852449,-0.36163035495306,0.786701207294976,-0.812981746766105,0.202506180966624,0.0679399206998759
"Stage_numeric_SHAP",-0.0504841359304347,0.00964240550277559,0.716241241267226,0.0474535864572311,-0.0129354154905972,-0.0232207904518161,0.130475119452298,-0.0337537422564612,-0.00955217873048929,0.0856499890990388,0.0364493125927824,-0.0280450151676616,-0.231608262370974,1,-0.153337473496985,0.140328123122574,-0.293643066572957,0.309764032091501,-0.0893255157248438,-0.012721886140515
"HPV_Positive_SHAP",-0.0475190030567678,0.226875439134983,-0.0306492193629118,-0.522732168772945,0.238611210691841,-0.098486592362719,0.0080583453076818,-0.0159738742240348,0.00412698299287668,0.202249325937702,0.153933401570521,-0.0338249570392751,0.72475631852449,-0.153337473496985,1,-0.371938482812802,0.489371871066303,-0.581513844204863,0.105447547869714,-0.0489772998146949
"HPV_Unknown_SHAP",0.00462482919322995,-0.0237326116981131,0.0130463495268006,0.361516774055013,-0.871189113836975,0.231099683010693,0.0814159139750133,0.00646154075274874,0.0172342750213909,0.0432686919570482,-0.0447377695427962,-0.052829311119026,-0.36163035495306,0.140328123122574,-0.371938482812802,1,-0.43487963768971,0.429155109645447,-0.190448566348571,-0.0622835750197072
"RT_year_SHAP",-0.019463542385509,0.0465473981611199,0.00339250042260606,-0.0457024543844478,0.0249989206789264,-0.256239727739737,-0.053578007941376,-0.0048250331724935,-0.0222425173245498,0.0941347916455309,-0.00333556279954931,0.118055264847576,0.786701207294976,-0.293643066572957,0.489371871066303,-0.43487963768971,1,-0.878578923819339,0.314087145710986,0.193852856792812
"Age_SHAP",0.0282361455502583,0.00553323466205142,0.0408239937620105,-0.0108073221913082,-0.0268342471669192,0.0802148110486878,0.342202289702653,0.0503468692665323,0.0791326065315964,0.250741464541812,0.222124529097861,-0.056346644355548,-0.812981746766105,0.309764032091501,-0.581513844204863,0.429155109645447,-0.878578923819339,1,-0.30453186799325,-0.145891972192795
"BED_DI_SHAP",0.00896504202696469,-0.0437367696243778,0.0481752203918725,-0.0151625604406546,0.0600511214352025,-0.116860748236949,-0.114100930667544,-0.577147568968187,-0.568776461529011,-0.0906983368201953,-0.0472947100291219,0.0404242584918439,0.202506180966624,-0.0893255157248438,0.105447547869714,-0.190448566348571,0.314087145710986,-0.30453186799325,1,0.57429334167422
"BED_DD_SHAP",-0.0245451591298588,-0.0251219334765238,0.0471440244839313,0.0435502981884315,-0.0168130900414573,-0.243145136423078,-0.0952236016092757,-0.398133667471406,-0.80577544473775,-0.0426593987713103,0.0201205621843022,0.060446245266237,0.0679399206998759,-0.012721886140515,-0.0489772998146949,-0.0622835750197072,0.193852856792812,-0.145891972192795,0.57429334167422,1
