"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DI_SHAP","BED_DD_SHAP"
"Sex",0,1,1,1,1,1,1,1,1,1,1,7.66564987294768e-90,1,1,1,1,1,1,1,0.125863573233169
"Smoking_PY",0.0342614828900274,0,1,2.56212507249907e-25,1,1,1,1,1,2.4796727167015e-87,2.54176996342643e-29,8.89404453613179e-08,0,2.05212711610766e-72,4.88101025821623e-57,3.19520227567123e-33,1,0.468255888292445,8.31858831771448e-58,1
"Stage_numeric",0.797477586419979,0.761877854874092,0,1,1,1,1,1,1,1,1,1,1,2.32263090122511e-31,1,1,1,1,1,1
"HPV_Positive",0.291807062428054,1.34848688026267e-27,0.0463418785952228,0,1.46815246450721e-39,0.000256024553654301,1,1,1,8.34427099994543e-21,3.65144411970842e-23,1,5.17896606868719e-22,1.24248888695567e-09,3.43960104097352e-136,2.32840751535277e-05,0.139957040873509,1,1.75997008188114e-11,1.50097132151458e-26
"HPV_Unknown",0.920682988110456,0.478410125465807,0.47448324705219,7.7271182342485e-42,0,4.78395731237122e-09,1,1,1,1,0.0649004426056433,1,1,1,1.43995393080894e-22,2.60398642648555e-37,1,1,1,0.004439642637216
"RT_year",0.684846087349905,0.250878024829842,0.0195584072684178,1.34749765081211e-06,2.51787226966906e-11,0,0.243369152414173,1,2.81567771194988e-08,0.000124218685093209,3.613492347311e-09,1,1,2.26126444075642e-06,2.16468352894192e-14,1,1.05503003699105e-118,0.036217336321876,1.38977870397034e-09,1.95805585195629e-30
"Age",0.317398169815391,0.0224670824306243,0.0065280884384652,0.0559329795651418,0.160274319377521,0.00128089027586407,0,1,8.32759496465402e-07,2.45195108258416e-100,1.0140077317345e-27,5.26982006430705e-37,0.082707275051309,0.0376134386165227,1.6106044367323e-14,8.80390662199734e-43,1,0,0.0850676013629949,0.0332601280396864
"BED_DI",0.101863467996514,0.011629430789699,0.0178640095847422,0.853362185894754,0.84464529447019,0.638890637003667,0.0230359320426691,0,7.40560058038573e-11,0.82854150501656,1,0.566853570823629,1,1,1,1,1,1,8.60984630093127e-06,1
"BED_DD",0.146831732105802,0.0557300137118419,0.970847920210539,0.184251724952776,0.405644932765868,1.48193563786836e-10,4.38294471823896e-09,3.89768451599249e-13,0,0.00193387465885155,1,1,1,1,1,0.950211142649203,1,5.38281988244409e-08,6.51681824131616e-08,1.93900138457004e-21
"predictions",0.7204013091376,1.3050909035271e-89,0.0366991891367769,4.39172157891865e-23,0.900499264928404,6.53782553122151e-07,1.29050056978114e-102,0.00436074476324505,1.01782876781661e-05,0,1.22081579675327e-101,7.16908906580711e-54,1.42834513935242e-97,6.15665585939817e-73,3.56944287252384e-104,1.2272285547495e-105,2.5129362830629e-26,4.78969708351526e-115,9.02679917289896e-51,2.34989206727357e-18
