"","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DI_SHAP","BED_DD_SHAP"
"Sex",1,0.0753310331655638,-0.00914416689525632,0.0375517641819225,0.00354827097679889,0.0144619652797851,0.0356170695948786,-0.0582450189935896,0.051664968593519,0.0127539883496033,0.0323832295532086,-0.639656543974706,0.0550378634219183,-5.0184322515752e-05,-0.00215792586817734,0.0113488260774908,0.00668885327245666,0.0274795011718396,0.0802447317026875,-0.120879694562585
"Smoking_PY",0.0753310331655638,1,-0.0107975997446417,-0.37376357622486,0.0252561461394214,-0.0408994785047568,0.0811977889231417,0.0897321379578181,0.0680953028468079,0.632808467901973,0.399318218294501,0.219277882530076,0.93313255000925,0.588175996320472,0.533508735281798,0.422237506394575,0.0666120272096364,0.107577109791987,0.536495170666079,0.0584057531211776
"Stage_numeric",-0.00914416689525632,-0.0107975997446417,1,0.0709046871902833,-0.0254820191458395,-0.0830533301865356,0.0966996883242702,-0.0842483259551636,-0.00130226879258732,0.0743415011659416,0.0308211873171055,0.0791400767317101,0.0220576449568339,0.411521469494758,-0.00991151619267183,0.0185102608871069,0.0686019701390288,0.0712893947936086,0.0799650797027191,0.044047539279668
"HPV_Positive",0.0375517641819225,-0.37376357622486,0.0709046871902833,1,-0.456080991664629,0.170940439851533,-0.0680390727009779,0.00658632261062965,-0.047288640849126,-0.341912651499365,-0.359011415716131,-0.0790175781528859,-0.350793953486591,-0.241098815267691,-0.74107164291768,-0.18683373147595,-0.119854183222386,-0.0798318049410814,-0.260903316069801,-0.381872363663717
"HPV_Unknown",0.00354827097679889,0.0252561461394214,-0.0254820191458395,-0.456080991664629,1,-0.234445526436421,-0.0500053231427906,-0.00698274197486817,-0.0296267766647978,-0.00445542460452894,0.12710937087775,-0.0681074306492744,0.0332859116447232,0.0190328799527982,0.354790184938297,-0.444504259988532,0.0307770320145816,-0.0552602366811356,0.0384766970863954,0.149883929628286
"RT_year",0.0144619652797851,-0.0408994785047568,-0.0830533301865356,0.170940439851533,-0.234445526436421,1,0.114375473404319,-0.0167204899965418,0.225376477941688,-0.175885748557934,-0.23584697360612,-0.0342404453024248,-0.026933446417777,-0.201080315789801,-0.289058837563782,-0.0973215206003642,-0.707628660168273,0.132372915135678,-0.240553513476675,-0.406043451521183
"Age",0.0356170695948786,0.0811977889231417,0.0966996883242702,-0.0680390727009779,-0.0500053231427906,0.114375473404319,1,0.0808595453523502,0.206876117108392,0.666522748726646,0.38936817044523,0.442893179518511,0.124861826837192,0.132037488816857,0.29022980474669,0.471929190012126,0.0285719461315241,0.938568377310246,0.124598585649338,0.133125429074436
"BED_DI",-0.0582450189935896,0.0897321379578181,-0.0842483259551636,0.00658632261062965,-0.00698274197486817,-0.0167204899965418,0.0808595453523502,1,0.25440771061931,0.101326707175648,0.02801064234968,0.105519909187941,0.0835603624911518,0.0501566984709377,0.0475818429343141,0.0595925687948986,0.0226909459882935,0.0768708737750935,-0.193043051525463,-0.0585620091761968
"BED_DD",0.051664968593519,0.0680953028468079,-0.00130226879258732,-0.047288640849126,-0.0296267766647978,0.225376477941688,0.206876117108392,0.25440771061931,1,0.156301435776697,0.0393863692498833,0.0337906360419526,0.0688063701067472,0.0441104044583548,0.0463799817548979,0.0997759186504595,-0.0223540678862594,0.22196234153033,-0.220944438694702,-0.346611308536932
"predictions",0.0127539883496033,0.632808467901973,0.0743415011659416,-0.341912651499365,-0.00445542460452894,-0.175885748557934,0.666522748726646,0.101326707175648,0.156301435776697,1,0.669672645226774,0.520876296792623,0.659706669927107,0.589865905755184,0.675689943854694,0.679101452597094,0.380416471696974,0.699976538530098,0.507973242850117,0.322951556841153
"variance.estimates",0.0323832295532086,0.399318218294501,0.0308211873171055,-0.359011415716131,0.12710937087775,-0.23584697360612,0.38936817044523,0.02801064234968,0.0393863692498833,0.669672645226774,1,0.359760021983858,0.416670764726729,0.410996944289276,0.608761047588039,0.419447223235432,0.215947174490725,0.403124409667909,0.42925264271937,0.465064710345892
"Sex_SHAP",-0.639656543974706,0.219277882530076,0.0791400767317101,-0.0790175781528859,-0.0681074306492744,-0.0342404453024248,0.442893179518511,0.105519909187941,0.0337906360419526,0.520876296792623,0.359760021983858,1,0.248081222751478,0.228663758129416,0.275448448508687,0.30426383788794,0.068835902191029,0.480634371116997,0.207482113810205,0.276334773323147
"Smoking_PY_SHAP",0.0550378634219183,0.93313255000925,0.0220576449568339,-0.350793953486591,0.0332859116447232,-0.026933446417777,0.124861826837192,0.0835603624911518,0.0688063701067472,0.659706669927107,0.416670764726729,0.248081222751478,1,0.578081544633224,0.578066941302582,0.412877472518813,0.0658714260706082,0.112640588241629,0.560970091952914,0.06558605265097
