"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,-0.00477966210648121,0.025306390526114
1,24,-0.0205533044373528,0.0364755433416895
1,36,-0.0344478179983749,0.04364307720776
1,48,-0.040105455398406,0.049173667333624
1,60,-0.043485807769521,0.0522697485221725
1,72,-0.00892394272796425,0.0611737571564334
1,84,0.0236185665548578,0.0721255020502085
1,96,0.0539841388332919,0.0755062781170866
1,108,0.0850591563120478,0.102643893166153
1,120,0.0657432290874918,0.108771822764015
2,12,0.0198932075545923,0.021238965939387
2,24,0.0383329708863918,0.0351732914731605
2,36,0.0344575793613047,0.0434929481317953
2,48,0.0597119798850704,0.0496695815860446
2,60,0.0284261577668397,0.0556437503281466
2,72,0.0291932351539345,0.0663964608945463
2,84,0.0659689772462885,0.0824031722069515
2,96,0.0302673492609595,0.0856222826663491
2,108,0.071694419903105,0.105621380146466
2,120,0.0371813729607501,0.131403399328375
3,12,-0.00674161424408329,0.0202493289648062
3,24,-0.00957571937664237,0.0320310958057325
3,36,0.00836009708259136,0.0381315848414093
3,48,0.0230251449484842,0.0476388839052373
3,60,-0.0140502686610124,0.059787887101447
3,72,-0.0108431991386028,0.0691498506495146
3,84,0.00922380835759879,0.0746376123501413
3,96,0.0124737093683508,0.0804764056319495
3,108,0.0375916603624443,0.0861274833734521
3,120,-0.0913948250070351,0.134987866029372
4,12,0.00480802108208717,0.0187384333123469
4,24,-0.0130836111445768,0.0345242339983677
4,36,-0.0210274692056279,0.0408690440319907
4,48,-0.0227595666360751,0.0462595029169482
4,60,0.00348454976582959,0.0520208571789047
4,72,0.0392029462725145,0.0634883263936877
4,84,0.0783722524804217,0.0993514493234442
4,96,0.0600627415601856,0.100563760464384
4,108,0.0436339008754251,0.110277269183762
4,120,0.0362331391990567,0.114727276846066
5,12,0.00379311219946359,0.0164429841256106
5,24,0.00582150104565544,0.0319405197819327
5,36,-0.0158136051563713,0.041981923592215
5,48,-0.0313707882444616,0.0482140910468416
5,60,-0.0124157179958943,0.0548222488315554
5,72,-0.0197290209826796,0.0656052913908428
5,84,-0.00796458796282207,0.0730700961885711
5,96,0.0188811626210647,0.0807383976937169
5,108,0.00071440846418573,0.0815035935008111
5,120,0.0405062710123487,0.104221280212153
6,12,-0.00500493805766229,0.0240787007501709
6,24,0.00276414701052049,0.0327444409563023
6,36,-0.000104148153956338,0.0444676332010319
6,48,-0.00366047436769045,0.0499767372007732
6,60,-0.0246179045986467,0.0555344042707678
6,72,-0.0359478243811024,0.0696339481773749
6,84,-0.0316628795709326,0.0728448859450728
6,96,-0.0193973346217245,0.0825463018323585
6,108,-0.0050435533567623,0.11357407115528
6,120,-0.0260151036423189,0.116495880699057
7,12,0.00223063850824511,0.0200267932279394
7,24,0.0267921973308879,0.034136391601772
7,36,0.045681284867371,0.0411482850525336
7,48,0.0368491021410942,0.0484192269805333
7,60,0.032730061000438,0.0548398073366591
7,72,0.0389489291459601,0.0625072428179961
7,84,0.0245541560780157,0.0803106900459578
7,96,-0.0371097549853109,0.107779379321556
7,108,0.0377170496833852,0.120478296780479
7,120,0.0203451956188886,0.118793753690421
8,12,0.00773030570252573,0.0216828633529388
8,24,0.0162158893040929,0.0293522417592559
8,36,-0.023714724671894,0.041567491290243
8,48,-0.0343679283927918,0.0467122930322501
8,60,-0.053212991551696,0.0519631164922583
8,72,-0.0432368995337828,0.0611819903764881
8,84,-0.0771239586041664,0.0705583183751512
8,96,-0.0915509523547979,0.0720513940326331
8,108,-0.0651163546657877,0.0880427091842504
8,120,-0.07882178087461,0.123100505787413
9,12,0.00512783254530788,0.0228113531281975
9,24,-0.0157798684814401,0.0329089788499208
9,36,-0.00829064264655388,0.0395379321962129
9,48,-0.0273256665180183,0.044522282387889
9,60,-0.0231751290517787,0.0477568372389285
9,72,-0.0384527992900054,0.0595182597433577
9,84,-0.0170147476760423,0.0721263179424914
9,96,-0.00176883622350257,0.0771334528815809
9,108,0.00279725683209896,0.0776495321985839
9,120,-0.0262970657979892,0.106000147142293
10,12,-0.0065300169285992,0.0215776622349601
10,24,-0.0484535546070489,0.0338459230913279
10,36,-0.0397756336969739,0.0412690761182748
10,48,-0.0629092018806105,0.0468212641740471
10,60,-0.0575141650494664,0.0513929015771049
10,72,-0.0687474756620341,0.0592921467608688
10,84,-0.0657304483149117,0.0700287315598337
10,96,-0.080602497776373,0.0707574041112941
10,108,-0.037005917804256,0.110019627595016
10,120,-0.0877138379115306,0.115945634667369
11,12,-0.00602718999231428,0.017481547637162
11,24,-0.0049943887517896,0.032993801727507
11,36,0.00816905886254805,0.0424993479926822
11,48,-0.0075048175719536,0.0489400395360326
11,60,-0.0175166164572151,0.0541742502357394
11,72,0.0313704721222791,0.0660097302912641
11,84,0.00793326874827658,0.0709550064584072
11,96,-0.0159421497281327,0.0809598093260225
11,108,-0.0931640898399253,0.145296123164541
11,120,-0.13702516614451,0.142033022099333
12,12,-0.00394542844017873,0.0208168595848986
12,24,-0.0136170426503128,0.0295897709359072
12,36,-0.0189883407879161,0.0438809858035179
12,48,-0.0205035634149441,0.0475983768764244
12,60,-0.0252118978100937,0.0559826451503459
12,72,-0.0207405188912652,0.0635130950342499
12,84,-0.0550659035644584,0.0710779042911211
12,96,-0.0474230841378753,0.0750485855151722
12,108,-0.0215904390927579,0.100783915497898
12,120,-0.0656939184434239,0.10558689712453
13,12,-0.0135497263943565,0.0255692984862714
13,24,-0.0132666492552198,0.0356217892593928
13,36,-0.0244746289224763,0.0444187249513332
13,48,-0.0166599890584341,0.0496892551411168
13,60,-0.00175201085428413,0.0533173587273522
13,72,-0.00144438909371701,0.0607654531828315
13,84,0.00706627496552913,0.07859053751088
13,96,0.00179534108832362,0.0804822491558228
13,108,0.0124218475967662,0.0884124308789378
13,120,-0.0110131850337828,0.101221712594799
14,12,-0.0224785940445235,0.0231361687602051
14,24,-0.013567468717071,0.0305194062516496
14,36,-0.0111183974654243,0.0405685033036981
14,48,0.0140783508748503,0.0468724988170682
14,60,-0.00796849965857552,0.0536649485611769
14,72,-0.0353875817570934,0.0662922899574998
14,84,-0.0443664157427425,0.0681723243592962
14,96,-0.00436614653284243,0.089705308604119
14,108,0.00882702499677787,0.0997480164993849
14,120,-0.00730125372388424,0.111197532571649
15,12,0.0090842082421097,0.0217667405650392
15,24,0.0198217696106028,0.0301141734795612
15,36,-0.00590739215122308,0.0405068012333589
15,48,-0.0304515643156623,0.0478542371512691
15,60,-0.040751214682359,0.0559229080602327
15,72,-0.0575956845989616,0.0648781622432505
15,84,-0.0238226774712923,0.071585202353851
15,96,-0.0266861332690611,0.0923299770566675
15,108,-0.0578362110964919,0.0981580058407333
15,120,-0.0660988594024115,0.0991626092279145
16,12,0.00386482603906304,0.0224730197140106
16,24,0.00175628931989205,0.0356067621350972
16,36,0.0201136818518146,0.0431187491583899
16,48,0.00157592378583583,0.0496030000614772
16,60,0.000587855548846451,0.0517626411133173
16,72,0.0482755074981596,0.0608407280452816
16,84,0.00431205767021125,0.0635520594341099
16,96,-0.0167790892173419,0.068294667780617
16,108,-0.00374119935472087,0.0972968679651687
16,120,-0.0476327428508517,0.101153730252175
17,12,0.00361737909165714,0.0211860873336397
17,24,0.00591057722706974,0.0330632624757129
17,36,-0.0171388880693084,0.0419808166503936
17,48,-0.0292598314067162,0.0458821008646289
17,60,-0.0176137409624844,0.0527582450683776
17,72,-0.0255149453165378,0.0675198936945864
17,84,-0.0293605254289583,0.0774542435619211
17,96,-0.05812826081909,0.0806192217934102
17,108,-0.0837955434257435,0.085321504377298
17,120,-0.151303429174302,0.0961146646336657
18,12,-0.0140522404672504,0.0210490349366988
18,24,-0.0217708513470958,0.029718965538032
18,36,-0.0415818228154576,0.0410793659883015
18,48,-0.0380697393082514,0.0471016460202401
18,60,-0.0551777793131141,0.0561877395309181
18,72,-0.0443944075671836,0.0658079532751396
18,84,-0.0736753797295811,0.0789906908773424
18,96,-0.0611645755476758,0.0865498617957884
18,108,-0.0749701875969534,0.0861196886460616
18,120,-0.0912037567018558,0.0766172108176605
19,12,-0.0080873676723502,0.0168699701903402
19,24,-0.0149569602562718,0.0363745138304116
19,36,-0.0170415808159526,0.0469019394322746
19,48,-0.0199565338593543,0.0496547041342108
19,60,0.00283986055083766,0.0578920954694481
19,72,0.0134320442232264,0.0647796633992355
19,84,-0.00144274382832402,0.0740984002906001
19,96,-0.0111370124021973,0.0767989403300554
19,108,-0.000588154028296026,0.0841159512550906
19,120,-0.093018729543009,0.116301568161504
20,12,-0.000908223531207052,0.0228785658068481
20,24,0.00952175154284032,0.0322705635380317
20,36,0.025957908161984,0.0404358173735287
20,48,0.0368106924201289,0.045587525218952
20,60,0.034886415128346,0.0531173420506995
20,72,-0.0116176580427852,0.0643667721202978
20,84,-0.0101141119786944,0.0737915819310618
20,96,0.00288575116508867,0.0791426802130875
20,108,0.026296278252694,0.0817321317090943
20,120,0.020476192196357,0.0812775241629078
