"","s0"
"(Intercept)",17.0911482059893
"Ds_Site_Esophagus",3.81003406831717
"Ds_Site_Hypopharynx",0
"Ds_Site_Larynx",0.150931168406741
"Ds_Site_Lip_Oral_Cavity",-0.734233678770067
"Ds_Site_Nasal_Cavity",0.659051259805883
"Ds_Site_Oropharynx",-0.0101809472840481
"Sex",0.117832127543826
"Smoking_PY",-0.00429062016391286
"Stage_numeric",1.77584860647889
"HPV_Positive",0.415796414135245
"HPV_Unknown",0.291070112104274
"RT_year",-0.0256496872937548
"Age",-0.115254803981533
"BED_DI",0.0437806139729416
"BED_DD",0.491607400299058
