"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","Cause","RT_year","Age","time","event","BED_DI","BED_DD","W.hat"
"Ds_Site_Esophagus",1,-0.02941943179576,-0.0779039265428572,-0.0230955305234919,-0.0160616326122936,-0.128148551260883,-0.0263749625986475,-0.0651258666471298,-0.0269558501723834,-0.0934179813087939,0.131863400003899,0.0482501779904146,0.0115795204016911,0.0237004142806377,-0.0488767562233632,0.0892083015138073,-0.0235313815524697,-0.0539069714177367,-0.0194958578692659
"Ds_Site_Hypopharynx",-0.02941943179576,1,-0.173037638642986,-0.0512990325692187,-0.0356755699400275,-0.284639346047648,0.0276540280391455,0.0573602978691115,0.0985031132577469,-0.181804183023645,0.16177690576549,-0.00707990318832256,-0.034990473676088,0.0738035549374916,-0.0740382340115087,0.14254401464546,-0.0618472947858298,0.0477838371376916,-0.0083988527607946
"Ds_Site_Larynx",-0.0779039265428572,-0.173037638642986,1,-0.135842054759467,-0.0944704506625794,-0.753737286962105,0.059417499397234,0.210632222047414,-0.586409142955448,-0.522899802243708,0.598504272644317,-0.359885373299852,-0.00854227264170031,0.215045469829638,-0.0436527805090394,-0.0119724504078566,-0.0700915828811003,-0.430525825537704,-0.468718326321859
"Ds_Site_Lip_Oral_Cavity",-0.0230955305234919,-0.0512990325692187,-0.135842054759467,1,-0.0280068704322027,-0.223454237677617,-0.0748893866689465,0.022526488125794,-0.0181589843525362,-0.157567847111164,0.208888787762175,-0.0797272635688275,-0.057506556196355,0.0943143336702532,-0.054564587642608,0.109446720809499,0.0958696454946763,-0.000532674891923338,-0.0691803662652072
"Ds_Site_Nasal_Cavity",-0.0160616326122936,-0.0356755699400275,-0.0944704506625794,-0.0280068704322027,1,-0.155399758736323,-0.134711307862337,0.00753801725331182,-0.0990825452917411,-0.0757551188268303,0.0783570470196719,-0.0243956912284654,0.047601741008779,-0.0038602662544954,-0.0248866457382647,-0.0662866081219431,0.0172738649932038,0.00106106902871513,-0.0466206570364009
"Ds_Site_Oropharynx",-0.128148551260883,-0.284639346047648,-0.753737286962105,-0.223454237677617,-0.155399758736323,1,0.00335181224215112,-0.220308768140919,0.540525645243939,0.679377263451676,-0.769724643945776,0.366104960990599,0.0314271773982287,-0.277380045322773,0.115692770831387,-0.102221967347594,0.058719782682407,0.391185931603244,0.485874160399197
"Sex",-0.0263749625986475,0.0276540280391455,0.059417499397234,-0.0748893866689465,-0.134711307862337,0.00335181224215112,1,0.0486776794356038,-0.000863803259642849,0.0399942823062564,0.0175447503567766,0.0368657171304483,0.0472305249102246,-0.0321889407072427,-0.0104248015660664,-0.0133753194010289,-0.0757244951981565,0.00990309085367752,0.0459010245242406
"Smoking_PY",-0.0651258666471298,0.0573602978691115,0.210632222047414,0.022526488125794,0.00753801725331182,-0.220308768140919,0.0486776794356038,1,-0.116622093206313,-0.339150450302393,0.197832846880657,-0.19592992875226,-0.0843014161110742,0.206658127274262,-0.153223447188148,0.219590220394658,-0.0673789103137659,-0.128308503537604,-0.226215712025489
"Stage_numeric",-0.0269558501723834,0.0985031132577469,-0.586409142955448,-0.0181589843525362,-0.0990825452917411,0.540525645243939,-0.000863803259642849,-0.116622093206313,1,0.424389879583009,-0.452246318266386,0.494411109301205,0.0499386019376931,-0.216110442457513,-0.0586344735287767,0.0741108544857432,-0.0913140849918985,0.580876491720368,0.631130048320993
"HPV_Positive",-0.0934179813087939,-0.181804183023645,-0.522899802243708,-0.157567847111164,-0.0757551188268303,0.679377263451676,0.0399942823062564,-0.339150450302393,0.424389879583009,1,-0.708445112942875,0.347171636682977,0.14694539871364,-0.263490193400139,0.14727488022476,-0.261165647385583,0.048853275736837,0.326101460119451,0.430491535604342
"HPV_Unknown",0.131863400003899,0.16177690576549,0.598504272644317,0.208888787762175,0.0783570470196719,-0.769724643945776,0.0175447503567766,0.197832846880657,-0.452246318266386,-0.708445112942875,1,-0.299266995386346,-0.212129548385014,0.224831820399678,-0.0226005552340343,0.148376222959297,-0.048248297541134,-0.378152116122518,-0.397563704504293
"Cause",0.0482501779904146,-0.00707990318832256,-0.359885373299852,-0.0797272635688275,-0.0243956912284654,0.366104960990599,0.0368657171304483,-0.19592992875226,0.494411109301205,0.347171636682977,-0.299266995386346,1,0.0536380232536521,-0.432999908385129,0.110149109702118,-0.159881543540462,0.163267055231343,0.458608363072336,0.809159580281934
"RT_year",0.0115795204016911,-0.034990473676088,-0.00854227264170031,-0.057506556196355,0.047601741008779,0.0314271773982287,0.0472305249102246,-0.0843014161110742,0.0499386019376931,0.14694539871364,-0.212129548385014,0.0536380232536521,1,0.0364779996533938,-0.463455386572154,-0.308116603023615,0.0305400185652491,0.199618596673294,0.0759195187186866
"Age",0.0237004142806377,0.0738035549374916,0.215045469829638,0.0943143336702532,-0.0038602662544954,-0.277380045322773,-0.0321889407072427,0.206658127274262,-0.216110442457513,-0.263490193400139,0.224831820399678,-0.432999908385129,0.0364779996533938,1,-0.180827520045263,0.20623630306669,0.0301732179861421,-0.197928049751516,-0.542110147634705
"time",-0.0488767562233632,-0.0740382340115087,-0.0436527805090394,-0.054564587642608,-0.0248866457382647,0.115692770831387,-0.0104248015660664,-0.153223447188148,-0.0586344735287767,0.14727488022476,-0.0226005552340343,0.110149109702118,-0.463455386572154,-0.180827520045263,1,-0.363668973012312,0.0276144989657217,-0.0240812516429379,0.0867202341752554
"event",0.0892083015138073,0.14254401464546,-0.0119724504078566,0.109446720809499,-0.0662866081219431,-0.102221967347594,-0.0133753194010289,0.219590220394658,0.0741108544857432,-0.261165647385583,0.148376222959297,-0.159881543540462,-0.308116603023615,0.20623630306669,-0.363668973012312,1,-0.0886221049818259,-0.0826187668360565,-0.136759956184025
"BED_DI",-0.0235313815524697,-0.0618472947858298,-0.0700915828811003,0.0958696454946763,0.0172738649932038,0.058719782682407,-0.0757244951981565,-0.0673789103137659,-0.0913140849918985,0.048853275736837,-0.048248297541134,0.163267055231343,0.0305400185652491,0.0301732179861421,0.0276144989657217,-0.0886221049818259,1,0.331963143282912,0.212485396711963
"BED_DD",-0.0539069714177367,0.0477838371376916,-0.430525825537704,-0.000532674891923338,0.00106106902871513,0.391185931603244,0.00990309085367752,-0.128308503537604,0.580876491720368,0.326101460119451,-0.378152116122518,0.458608363072336,0.199618596673294,-0.197928049751516,-0.0240812516429379,-0.0826187668360565,0.331963143282912,1,0.602420063100805
"W.hat",-0.0194958578692659,-0.0083988527607946,-0.468718326321859,-0.0691803662652072,-0.0466206570364009,0.485874160399197,0.0459010245242406,-0.226215712025489,0.631130048320993,0.430491535604342,-0.397563704504293,0.809159580281934,0.0759195187186866,-0.542110147634705,0.0867202341752554,-0.136759956184025,0.212485396711963,0.602420063100805,1
