"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,-0.0973415069471313,0.173345092436836
1,24,-0.055777264056348,0.4825519084096
1,36,-0.11735589165914,0.893904864632337
1,48,-0.285523267911365,1.42783243417755
1,60,-0.409889456538727,2.05544638846174
1,72,-0.585870266126856,2.73470042498575
1,84,-0.887167912953022,3.52048630030016
1,96,-0.74937268526883,4.33756109354906
1,108,-0.740673797010061,5.18285550874055
1,120,-0.755707803627418,5.97272157592435
2,12,0.0283968119549595,0.117989614899975
2,24,0.248472749866962,0.528583261391835
2,36,0.337710662956625,1.11234609717091
2,48,0.778235463452125,1.83645225274363
2,60,1.22706301166446,2.59669699484306
2,72,1.12120075820493,3.40169099284472
2,84,0.881655310275224,4.21141174864184
2,96,0.843134185672273,5.16501095497886
2,108,1.31045989572572,6.12421571574462
2,120,1.16448082703746,7.1020825298558
3,12,-0.0424707976669039,0.12173157185929
3,24,-0.245739761310784,0.538393698505023
3,36,-0.223816320955714,1.11284689518049
3,48,-0.259007804162723,1.75990200198999
3,60,-0.710005091970039,2.44465679060686
3,72,-1.3504651937018,3.17924811454794
3,84,-2.17293831047024,3.90536388333793
3,96,-2.85975807797792,4.72349575329301
3,108,-2.24737428477415,5.71502361576117
3,120,-3.02268020376335,6.7671405191049
4,12,-0.0391047154898955,0.165865825444402
4,24,-0.0317248537685352,0.587735386405997
4,36,0.165515015129183,1.10204088312427
4,48,0.616066350274988,1.71912418734008
4,60,0.708982886502996,2.41192409624047
4,72,0.942347592993679,3.18222148554977
4,84,0.201236381008264,3.86925244228528
4,96,-0.264564077431962,4.68725657322069
4,108,-0.921061621329069,5.49385604997049
4,120,-1.27992710817172,6.36317047275513
5,12,-0.100043054388011,0.125731224921616
5,24,-0.133594945901296,0.463293801189247
5,36,-0.398652876914113,0.968981073412737
5,48,-0.780483564090502,1.61341608268131
5,60,-1.30422415959085,2.32696480311198
5,72,-2.21235004983722,3.06900069432541
5,84,-3.2259192287911,3.86243097026254
5,96,-4.3256054029407,4.7974171809772
