"Repetition","Horizon","CATE_Estimate","Standard_Error"
1,12,0.00800702096351852,0.0213463034740262
1,24,0.0188351928222499,0.0396920370925131
1,36,0.008405373826187,0.0548964684622311
1,48,-0.0282484809401555,0.0638368376403266
1,60,-0.041026943897458,0.0694102146380599
1,72,-0.0605841475260128,0.0819609280624417
1,84,-0.0523354701859324,0.109772258655703
1,96,-0.0607456810237362,0.11137203939459
1,108,-0.0816514138701239,0.118083304123716
1,120,-0.1395914934013,0.139361072488217
2,12,-0.0162303681461478,0.0274864666855555
2,24,-0.0567286954768932,0.0490603139393871
2,36,-0.039756953211032,0.0545787573890841
2,48,-0.0493500829675012,0.0647000711937654
2,60,-0.0662292505878928,0.0736460157035961
2,72,-0.0240204586197849,0.0921867135945259
2,84,-0.0366139759428187,0.10374987182324
2,96,-0.0508368970255969,0.106905581101373
2,108,-0.0346365940330137,0.111758416529577
2,120,-0.0464516571329855,0.127933777078394
3,12,-0.0108093891873688,0.0339822641884442
3,24,-0.0393159650068248,0.0506138033495325
3,36,-0.0372132999726919,0.0681771677273362
3,48,-0.0541430594450448,0.0715685254736064
3,60,-0.0483979496748942,0.0774713715677698
3,72,-0.0637541617812489,0.0969613145110126
3,84,-0.0832392239197884,0.0968582770921589
3,96,-0.0099946718130395,0.112477595593005
3,108,0.007478230719365,0.112618070541202
3,120,-0.00601295335236111,0.11749221627669
4,12,-0.00386767974258727,0.0199616300438879
4,24,-0.062440430310627,0.0519913569120248
4,36,-0.0770018861777945,0.0639244462161622
4,48,-0.0742170963440344,0.0762826861570585
4,60,-0.0523128759161089,0.080254202813675
4,72,0.00020569320783712,0.0870782428830901
4,84,-0.0487968722859478,0.106080441605702
4,96,-0.023267967778425,0.113335881676753
4,108,-0.0499220963500048,0.113248117531256
4,120,-0.0284624975361247,0.137317718776171
5,12,0.00523793700354496,0.0250462470291513
5,24,-0.0189194158855972,0.0458498836370145
5,36,-0.0513204231483927,0.0589226987471168
5,48,-0.0301121415733852,0.0618275674246914
5,60,-0.0399955083782857,0.0737015594638351
5,72,-0.0528661253382856,0.080171215608896
5,84,-0.0984747763575272,0.0933518091543029
5,96,-0.105130697011878,0.0967391440241809
5,108,-0.116111831729262,0.100376631124769
5,120,-0.0073631435350526,0.166840923579937
6,12,-0.0138301085787273,0.0354546815080395
6,24,-0.00877458982652481,0.0455462777242004
6,36,-0.0183807774619326,0.0579911644488849
6,48,-0.0517169293205271,0.0691587433467493
6,60,-0.051870924331798,0.0821183360943295
6,72,-0.0353129910959522,0.0855242762858787
6,84,-0.112320321203746,0.116978355479874
6,96,-0.177121048624313,0.130551405014107
6,108,-0.162688325869547,0.131665807745717
6,120,-0.0905891172875397,0.155345706731893
7,12,0.0114182475907284,0.0268821837152674
7,24,0.00886151444429158,0.038703246801162
7,36,-0.0165740846353907,0.0636709646994678
7,48,-0.0176907997548348,0.0685678596475318
7,60,-0.0272073953159748,0.0834833995750585
7,72,-0.00158285645680867,0.0942140495263081
7,84,-0.00782950653448999,0.107267729420687
7,96,0.0499039816696187,0.131003897709298
7,108,0.0315191738815562,0.138397887911028
7,120,0.0868657287920163,0.192605048845582
8,12,-0.0186999184903727,0.0320416578499489
8,24,-0.0184024872283248,0.0459634830839257
8,36,-0.0294800826856037,0.0548846874609515
8,48,-0.0398083588793999,0.0648235825603557
8,60,-0.0463695696995701,0.0749340779291469
8,72,-0.0141569161868026,0.0813474724609877
8,84,0.0527314211299193,0.120157907075816
8,96,0.0448323963811382,0.130781605935912
8,108,0.0280354358184885,0.134709286046319
8,120,0.0577960004224249,0.173865314744433
9,12,-0.00315690650487755,0.0274401503849645
9,24,-0.0246341508587421,0.0442452743107892
9,36,-0.0274420014053252,0.0523903107763498
9,48,0.0142944718784676,0.0589090848231166
9,60,0.0322232952771523,0.0726927017377444
9,72,0.00141357809003364,0.0937988876126361
9,84,0.0208931652123927,0.101369654110736
9,96,0.0183472837079079,0.117559018427202
9,108,0.0470458179807377,0.123188409045788
9,120,0.0199757671957798,0.315317320410728
10,12,-0.0293920428957502,0.0355188779601845
10,24,-0.0315999510020173,0.0429044892392324
10,36,-0.0582108734037591,0.0631777701733418
10,48,-0.0590237935416384,0.0687627365873093
10,60,-0.00290212341752341,0.0849061355500827
10,72,-0.0627893108467632,0.0964984482088366
10,84,-0.0333428429170757,0.0983687508611209
10,96,0.00628671855394484,0.104985124605993
10,108,0.00123973114499714,0.116982607647482
10,120,-0.0378413451546288,0.134520290954026
11,12,-0.0367797266250236,0.0331534186260522
11,24,-0.0573944795532679,0.0487519987778804
11,36,-0.0219087144012592,0.0621587489796621
11,48,-0.0491994007091279,0.0676700872181631
11,60,-0.0143352248560097,0.0803597893872666
11,72,-0.0200934791507686,0.0905064110478961
11,84,-0.0456546792936498,0.102158452603022
11,96,-0.0410467140958975,0.104274090392763
11,108,-0.0426126433378012,0.106747429328853
11,120,-0.398081247328171,0.416699744479677
12,12,-0.0191318177379869,0.033562340053255
12,24,-0.0394296468390083,0.0527775089408588
12,36,-0.0490740328271552,0.0626151799223992
12,48,-0.0455540595919049,0.0697896625412383
12,60,0.0217188040932248,0.0787895278991791
12,72,0.0160850953290799,0.0936118272060133
12,84,0.00373620904118217,0.109884753874007
12,96,0.00608503705552218,0.125765483125246
12,108,0.0381233794272707,0.18513159233994
12,120,-0.06218840358634,0.193025420825724
13,12,-0.0326369156331881,0.0347647846880778
13,24,-0.0797897861092103,0.0503861587716885
13,36,-0.0788034882197883,0.058656446877065
13,48,-0.0887597767453514,0.0718444703907181
13,60,-0.0500620918918175,0.0790167373294062
13,72,-0.0580141881754353,0.084080105656519
13,84,-0.0384130863020953,0.0915099095867484
13,96,-0.00526264987833531,0.101909287220934
13,108,0.0244560004695968,0.115572001714183
13,120,0.00683264538807009,0.125895442189102
14,12,-0.00052680876474102,0.0348895529364149
14,24,0.0244907396703177,0.0471645158569866
