"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Subsite_Base_Of_Tongue","Subsite_Buccal_Mucosa","Subsite_Cervical_Esophagus","Subsite_Floor_Of_Mouth","Subsite_Glottis","Subsite_Hard_Palate","Subsite_Lat_Wall","Subsite_0sal_Cavity","Subsite_0sal_Vestibule","Subsite_0sal_Vestibule_septum","Subsite_Other","Subsite_Post_Wall","Subsite_Post_cricoid","Subsite_Pyriform_Sinus","Subsite_Retromolar_Trigone","Subsite_Soft_Palate","Subsite_Subglottis","Subsite_Supraglottis","Subsite_Tongue","Subsite_Tonsil","Subsite_Tonsil_Pillar","Subsite_Tonsillar_Fossa","Subsite_Trans_Glottis","Subsite_Vallecula","Sex","Smoking_PY","Stage","HPV","HPV_Unknown","RT_year","Fx","d_Frac","Total_days_RT","Age","Cause","time","event","W_hat"
"Ds_Site_Esophagus",0,1,0.478823898541322,1,1,9.21032643118309e-06,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0284652983789968,3.37743064150938e-06,1,1,1,1,1,1,1,0.0641125277337962,1
"Ds_Site_Hypopharynx",0.189684523969022,0,7.366067904803e-12,1,1,2.07356964975944e-35,6.84584543502114e-06,1,1,1,1.05637574553038e-06,1,1,1,1,1,1,6.79426835702549e-07,1.13845306720863e-33,0,1,1,1,0.567161396680165,1,0.00202713788197438,1,0.00592526234921418,1,1,1,1,0.0101931202554179,2.88778503405379e-13,3.7086087743836e-10,1,0.0324909704361426,0.0306431077309166,0.0223799847565876,0.934621179306374,1,0.900297444558582,1.61249222175405e-07,1
"Ds_Site_Larynx",0.000506156340952772,7.78654112558456e-15,0,1.11781034637444e-06,0.0231105266148148,0,8.47739688610335e-53,1,0.478823898541322,1,0,1,0.224045715262459,1,1,1,1,1,1,5.99206521746599e-09,0.795531679676334,0.000671790342190987,7.87643003891557e-05,4.8830450250811e-94,1,2.20276754063258e-34,0.288527613516452,5.17898231081377e-31,0.0259871835015391,1,1,2.09073173251966e-18,4.32299895277488e-181,4.92358766213105e-137,1.25280559600226e-190,1,3.40686354852062e-50,1.91605366564639e-28,3.07944575274732e-51,2.90031518737032e-19,6.64769898471471e-59,1,1,4.17365021192346e-122
"Ds_Site_Lip_Oral_Cavity",0.303240535355187,0.022142585735791,1.18161770229856e-09,0,1,5.95397258711628e-21,0.00546516959909089,6.7520351831895e-57,1,1.42065055289805e-38,0.00171091838789664,1.35864363148107e-44,1,1,1,1,6.30260489365128e-12,1,1,1,3.67074697600525e-155,1,1,1,4.92576566733825e-132,0.190985831833249,1,0.374562826161512,1,1,0.785361911236073,1,1,1.49754811060633e-09,4.50750161577536e-18,1,0.845067573589978,0.111331297532381,0.802227558144102,0.0238393456015561,0.352000368231685,1,0.000940607936745593,0.000825276735792595
"Ds_Site_Nasal_Cavity",0.474043295212494,0.111705810965403,2.4429732150967e-05,0.211842198583068,0,3.02895888821028e-09,1,1,1,1,0.867164610454806,1,1,7.68910419819184e-59,8.8958456028769e-34,1.14972794070979e-212,4.59328469657919e-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1.53561025149185e-06,1,0.00903832336104827,0.682534255626291,0.443837755657426,1,1,1,1,1,1,1,1,1
"Ds_Site_Oropharynx",9.73607445156775e-09,2.19193409065479e-38,0,6.29383994409755e-24,3.20185928986287e-12,0,8.39740327703106e-99,0.388123933698007,9.21032643118309e-06,1,6.50271490842683e-186,1,0.712496687945446,1,1,0.0137006753342348,0.853676108439004,1,0.388123933698007,3.06530093700329e-27,3.47898792590727e-05,4.04289407775622e-08,0.051951244582597,2.36129710905819e-50,0.000254874269559839,1.55622079369351e-63,0.00152496340231841,3.16025012522803e-57,1,0.698571413599796,1,2.59595800659134e-20,2.51765702587963e-148,1.93406522066834e-266,0,1,2.67555320800059e-41,8.95994540022448e-23,6.56110144868507e-42,1.73421659766963e-33,3.72678808341631e-61,0.00021696132077642,0.00465764356639203,4.1572296470824e-127
"Subsite_Base_Of_Tongue",0.00943418745168262,7.23662308141769e-09,8.96130749059551e-56,5.77713488275992e-06,0.00163722267379674,8.87674765013854e-102,0,1,1,1,2.2993514427342e-31,1,1,1,1,1,1,1,1,0.000289386038787446,1,0.204802401272653,1,8.73064265990129e-09,1,3.08774104308958e-18,1,2.0641198511472e-16,1,1,1,2.53146327714126e-10,1.84199591642053e-41,5.44003548749113e-59,3.31713318912774e-52,1,1.50813187093998e-13,2.12021173939501e-08,3.43324554289245e-14,0.0669696655807118,7.66454159384358e-19,1,1,3.00388601477738e-38
"Subsite_Buccal_Mucosa",0.715385869926336,0.417961626383411,0.0318823854307653,7.13745791034831e-60,0.658361794285362,0.000410278999680768,0.109033971082818,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.261802380242108,1,1,1,1,1,1,1,1,1
"Subsite_Cervical_Esophagus",0,0.189684523969022,0.000506156340952772,0.303240535355187,0.474043295212494,9.73607445156775e-09,0.00943418745168262,0.715385869926336,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0284652983789968,3.37743064150938e-06,1,1,1,1,1,1,1,0.0641125277337962,1
"Subsite_Floor_Of_Mouth",0.760487407086619,0.498321252351462,0.0728608457212059,1.50174477050534e-41,0.711629711814722,0.00315107389670494,0.180361020787419,0.850651610582177,0.760487407086619,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_Glottis",0.00628736725851173,1.11667626377418e-09,0,1.80858180538757e-06,0.000916664493081191,6.87390582286135e-189,2.43060406208689e-34,0.0916569833294029,0.00628736725851173,0.158542136923217,0,1,1,1,1,1,1,1,1,6.64990339976888e-05,1,0.0933496882299855,1,6.57254228223663e-10,1,2.10629834605716e-20,1,2.25202303203188e-18,1,1,0.000269462550101686,0.00050684936648397,1.19401461944453e-251,1.89795687876547e-79,1.54728201347076e-124,1,9.1597724175899e-88,2.21759801339647e-58,5.41050895149655e-90,3.74717226648613e-12,3.8062677667435e-54,1,0.748120142900794,1.0562818807624e-111
"Subsite_Hard_Palate",0.744446061060354,0.469019787554796,0.0550929036473187,1.43619834194616e-47,0.692626914861002,0.00158986801752162,0.151987101545654,0.840434068023186,0.744446061060354,0.866328470849178,0.131611084641022,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Subsite_Lat_Wall",0.532647901043806,0.0834108054283489,0.000236834794146363,0.276537054729249,0.44924425444093,0.000753167746242544,0.00607043279232734,0.699948467798214,0.532647901043806,0.747305350200932,0.00387369833994873,0.730449257196206,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
