"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Subsite_Base_Of_Tongue","Subsite_Buccal_Mucosa","Subsite_Cervical_Esophagus","Subsite_Floor_Of_Mouth","Subsite_Glottis","Subsite_Hard_Palate","Subsite_Lat_Wall","Subsite_0sal_Cavity","Subsite_0sal_Vestibule","Subsite_0sal_Vestibule_septum","Subsite_Other","Subsite_Post_Wall","Subsite_Post_cricoid","Subsite_Pyriform_Sinus","Subsite_Retromolar_Trigone","Subsite_Soft_Palate","Subsite_Subglottis","Subsite_Supraglottis","Subsite_Tongue","Subsite_Tonsil","Subsite_Tonsil_Pillar","Subsite_Tonsillar_Fossa","Subsite_Trans_Glottis","Subsite_Vallecula","Sex","Smoking_PY","Stage","HPV","HPV_Unknown","RT_year","Fx","d_Frac","Total_days_RT","Age","Cause","time","event","W_hat"
"Ds_Site_Esophagus",1,-0.02941943179576,-0.0779039265428572,-0.0230955305234919,-0.0160616326122936,-0.128148551260883,-0.0581937638248597,-0.00818094790371189,1,-0.00683949000332554,-0.0612481443375191,-0.00731356759899499,-0.0139990152763179,-0.00577750982165949,-0.0044729859030739,-0.0100322553930762,-0.0109981455940356,-0.0118884058981388,-0.00818094790371189,-0.0260586447485543,-0.0127189385089678,-0.01885659987185,-0.00933479382421895,-0.0346143419182612,-0.0118884058981388,-0.0477394079541989,-0.0137520278445762,-0.0455133120526596,-0.00731356759899499,-0.00968962549931846,-0.0263749625986475,-0.0651258666471298,-0.0269558501723834,-0.0934179813087939,0.131863400003899,0.0115795204016911,-0.0272629722016811,0.000354661678647446,-0.0274101381865976,0.0237004142806377,0.0482501779904146,-0.0488767562233632,0.0892083015138073,0.0666711641740971
"Ds_Site_Hypopharynx",-0.02941943179576,1,-0.173037638642986,-0.0512990325692187,-0.0356755699400275,-0.284639346047648,-0.129258073666694,-0.0181712523352828,-0.02941943179576,-0.0151916501801317,-0.136042363174066,-0.0162446557387547,0.0388281414067552,-0.0128328147391472,-0.00993524912926535,-0.0222833156237159,0.0419493169196727,0.137596376421337,0.278079738606336,0.885763019811617,-0.0282508877704178,-0.0418836592641521,-0.0207341369330514,-0.0768842374770651,-0.0264061360592858,-0.106037202349028,-0.0305455518146312,-0.101092671369793,-0.0162446557387547,-0.0215222773760261,0.0276540280391455,0.0573602978691115,0.0985031132577469,-0.181804183023645,0.16177690576549,-0.034990473676088,0.0927442100364066,-0.0930430233883124,0.0946317061889716,0.0738035549374916,-0.00707990318832256,-0.0740382340115087,0.14254401464546,-0.00993330790713014
"Ds_Site_Larynx",-0.0779039265428572,-0.173037638642986,1,-0.135842054759467,-0.0944704506625794,-0.753737286962105,-0.342280964020951,-0.0481182613228993,-0.0779039265428572,-0.0402281460741308,0.78620099211334,-0.0430165502913736,-0.0823386584607748,-0.0339818479064134,-0.026308968974133,-0.0590071825837048,-0.0646883038481377,-0.0699245892349209,-0.0481182613228993,-0.153270341345483,-0.0748095714735838,-0.110909739430482,0.119824432971085,0.444320889258629,-0.0699245892349209,-0.280791093449987,-0.0808859410099491,-0.267697761774876,0.0938793193558938,-0.056991920421066,0.059417499397234,0.210632222047414,-0.586409142955448,-0.522899802243708,0.598504272644317,-0.00854227264170031,-0.334413611889556,0.257210199316297,-0.337594857352942,0.215045469829638,-0.359885373299852,-0.0436527805090394,-0.0119724504078566,-0.497878373662788
"Ds_Site_Lip_Oral_Cavity",-0.0230955305234919,-0.0512990325692187,-0.135842054759467,1,-0.0280068704322027,-0.223454237677617,-0.101473196576391,0.354222125159262,-0.0230955305234919,0.296139116456696,-0.106799158222608,0.316665927702155,-0.0244102586882837,-0.0100743164099113,-0.00779960167539721,-0.0174933696790944,0.173470150236861,-0.0207299626178575,-0.0142652215676063,-0.0454387860019256,0.550709952128209,-0.0328804899321737,-0.0162771971851803,-0.0603574625694459,0.514749201627838,-0.0832438049952621,-0.0239795836027462,-0.0793621336241745,-0.0127527596407248,-0.016895921631794,-0.0748893866689465,0.022526488125794,-0.0181589843525362,-0.157567847111164,0.208888787762175,-0.057506556196355,-0.0744338312175846,0.0862397487393358,-0.0747575350491041,0.0943143336702532,-0.0797272635688275,-0.054564587642608,0.109446720809499,-0.110017511498773
"Ds_Site_Nasal_Cavity",-0.0160616326122936,-0.0356755699400275,-0.0944704506625794,-0.0280068704322027,1,-0.155399758736323,-0.0705688575435517,-0.00992065316355492,-0.0160616326122936,-0.00829392986450967,-0.0742727620363143,-0.0088688216074475,-0.0169759515428089,0.359708751975647,0.278488869160802,0.624609940672995,0.18057510934114,-0.0144165141950706,-0.00992065316355492,-0.0316001005635793,-0.0154236622749793,-0.0228665173491302,-0.0113198681831665,-0.0419751946470607,-0.0144165141950706,-0.0578913487925006,-0.016676441427978,-0.0551918663354663,-0.0088688216074475,-0.0117501559715178,-0.134711307862337,0.00753801725331182,-0.0990825452917411,-0.0757551188268303,0.0783570470196719,0.047601741008779,-0.0109586943345475,0.0121605766682513,-0.0104536181767412,-0.0038602662544954,-0.0243956912284654,-0.0248866457382647,-0.0662866081219431,-0.0338840430350188
"Ds_Site_Oropharynx",-0.128148551260883,-0.284639346047648,-0.753737286962105,-0.223454237677617,-0.155399758736323,1,0.454111757427439,-0.0791524349460084,-0.128148551260883,-0.0661735405143542,-0.592589002802424,-0.0707603434731604,0.0754910072542081,-0.0558986532723595,-0.0432771030783401,-0.0970642340848925,-0.0743706234507973,0.0136111166583312,-0.0791524349460084,-0.252123006712368,-0.123058472534286,0.14714641473755,-0.0903161430193984,-0.334901221610389,-0.115022890444911,0.372531780378943,0.107313174509324,0.355160566427351,-0.0707603434731604,0.0756124466798885,0.00335181224215112,-0.220308768140919,0.540525645243939,0.679377263451676,-0.769724643945776,0.0314271773982287,0.305636402671218,-0.232165036596397,0.307716115940818,-0.277380045322773,0.366104960990599,0.115692770831387,-0.102221967347594,0.506496247630902
"Subsite_Base_Of_Tongue",-0.0581937638248597,-0.129258073666694,-0.342280964020951,-0.101473196576391,-0.0705688575435517,0.454111757427439,1,-0.0359440513379929,-0.0581937638248597,-0.0300501827781692,-0.269101633494782,-0.0321331039307661,-0.0615064818521839,-0.0253842356753382,-0.0196526413352734,-0.0440780099236389,-0.0483217732844102,-0.0522332469243221,-0.0359440513379929,-0.114492021666044,-0.0558822992288808,-0.0828489072209152,-0.0410136224306069,-0.15208258231009,-0.0522332469243221,-0.209749255287709,-0.0604213106677624,-0.199968615402211,-0.0321331039307661,-0.0425726212283301,0.0593532005343739,-0.162909174522032,0.30619039962715,0.36012850172536,-0.340510898007277,0.0401697497172554,0.183510168033293,-0.149245105939895,0.187336291794715,-0.0889770741983454,0.212886546200534,0.0308747010529569,-0.0477604154893675,0.294981495382807
"Subsite_Buccal_Mucosa",-0.00818094790371189,-0.0181712523352828,-0.0481182613228993,0.354222125159262,-0.00992065316355492,-0.0791524349460084,-0.0359440513379929,1,-0.00818094790371189,-0.00422449011108992,-0.0378306247908324,-0.00451730962158282,-0.00864665370825119,-0.0035685457682456,-0.00276279148085494,-0.0061965385839254,-0.00679313183873942,-0.00734301141296954,-0.00505305709954523,-0.016095423342259,-0.00785599948659474,-0.0116469970200523,-0.00576574337857092,-0.0213799486605697,-0.00734301141296954,-0.0294867975117649,-0.00849409906419895,-0.0281118236295284,-0.00451730962158282,-0.0059849092669384,-0.0219716953315785,-0.0451769048533505,-0.0404285838608037,-0.0577006966959667,0.0814469542407858,-0.00166085218174464,-0.013265904008774,0.0201435067281229,-0.0133104647797576,0.0298967422619806,-0.0255701351186536,0.0390234654871314,-0.00428475188034781,-0.0355278568475905
"Subsite_Cervical_Esophagus",1,-0.02941943179576,-0.0779039265428572,-0.0230955305234919,-0.0160616326122936,-0.128148551260883,-0.0581937638248597,-0.00818094790371189,1,-0.00683949000332554,-0.0612481443375191,-0.00731356759899499,-0.0139990152763179,-0.00577750982165949,-0.0044729859030739,-0.0100322553930762,-0.0109981455940356,-0.0118884058981388,-0.00818094790371189,-0.0260586447485543,-0.0127189385089678,-0.01885659987185,-0.00933479382421895,-0.0346143419182612,-0.0118884058981388,-0.0477394079541989,-0.0137520278445762,-0.0455133120526596,-0.00731356759899499,-0.00968962549931846,-0.0263749625986475,-0.0651258666471298,-0.0269558501723834,-0.0934179813087939,0.131863400003899,0.0115795204016911,-0.0272629722016811,0.000354661678647446,-0.0274101381865976,0.0237004142806377,0.0482501779904146,-0.0488767562233632,0.0892083015138073,0.0666711641740971
"Subsite_Floor_Of_Mouth",-0.00683949000332554,-0.0151916501801317,-0.0402281460741308,0.296139116456696,-0.00829392986450967,-0.0661735405143542,-0.0300501827781692,-0.00422449011108992,-0.00683949000332554,1,-0.031627408354362,-0.00377659097238887,-0.00722883244042773,-0.00298339916053632,-0.0023097671488663,-0.00518047104061736,-0.00567923886683718,-0.00613895281383266,-0.00422449011108992,-0.0134562019394752,-0.00656782448526732,-0.00973719923717721,-0.00482031479281071,-0.0178742056368838,-0.00613895281383266,-0.0246517468617904,-0.00710129270111674,-0.0235022321315813,-0.00377659097238887,-0.00500354330376105,0.0058868352733258,0.0377059611163518,-0.00394935514761793,-0.0482393168715723,0.0509547034653192,-0.00366907769699136,-0.0412089798511661,0.0441785109117661,-0.0416367942914636,0.0364171660790338,-0.0283954652023037,-0.0533230862532468,0.0307679108290179,-0.0391528205494386
