"","Horizon","CATE_Estimate_with_noise_SP","Standard_Error"
"1",12,0.0870591400735133,0.0236346710595563
"2",24,0.129444229990973,0.0285797276337049
"3",36,0.13655718510084,0.0291602940252704
"4",48,0.144559261695802,0.0308872167225933
"5",60,0.130000353027732,0.0318069056538649
"6",72,0.114174567133299,0.0316462430415735
"7",84,0.125393451171475,0.0320397407743746
"8",96,0.109057016663614,0.0315846977849878
"9",108,0.100917465550747,0.0303418356515448
"10",120,0.0777983462003764,0.0294000437158829
