"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"Ds_Site_Esophagus",0,1,1,1,1,0.0118624907722893,1,1,2.71874743544137e-07,1,0.0148993939702286,1,0.0209017850693194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ds_Site_Hypopharynx",0.470572577326573,0,0.0772376684117791,1,1,4.39260009112061e-64,1,0.313295619561802,1,1.30119654686923e-20,1.95207137029842e-20,1,0.0777524574531957,1,1,3.23704392097334e-10,1.01037939380862e-05,9.66566592555997e-200,0.0070099764779494,1,4.51172604352188e-06,1,1,1,0.000276941886610707,0.16804872244721,1,1,1
"Ds_Site_Larynx",0.335880402901077,0.000190240562590589,0,1,1,1.35195835645251e-131,1,1.13054405445108e-10,3.105479047589e-28,8.60462227485811e-40,2.1642783380747e-65,1,1,1,1,1.72362810371748e-10,1,0.285735237298356,3.22549990949157e-34,1,1.59432835970624e-10,1,1,1,1.76030438928749e-05,0.047161666868027,1,1,1
"Ds_Site_Lip_Oral_Cavity",0.689157162747666,0.121846985592948,0.0390113945073396,0,1,3.74678975595369e-17,1,1,1,1.27128480595409e-05,6.88486647303432e-15,1,1,1,1,1,1,1,1,2.59358117796236e-186,1,1,1,1,0.429900337890007,0.560819156979177,1,1,1
"Ds_Site_Nasal_Cavity",0.774723650047388,0.268447123989725,0.139905961480698,0.539604491852948,0,4.66109488368009e-08,0.0317663925853278,1,0.00528205218391356,1,1,1,1,1,1,1,1,1,1,1,0.000370002180959981,1,1,1,1,1,1,1,1
"Ds_Site_Oropharynx",2.92179575672149e-05,1.08192120470951e-66,3.32994669076974e-134,9.22854619693027e-20,1.1480529270148e-10,0,1,5.47294565015081e-11,9.00643623393125e-18,1.42936232534652e-99,1.42932455637368e-160,1,0.295207339093742,1,1,3.40896525116901e-30,5.89353048746113e-08,5.38474603265818e-32,2.51657829669435e-06,2.61903151390906e-07,5.24579351725055e-29,1,1,1,4.67746826751563e-18,4.26821496980878e-11,1,1,1
"Sex",0.959628975635375,0.0507235755968364,0.58871125520828,0.0912812636926753,7.82423462692803e-05,0.991023466839927,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.31070738991192e-65,1,1,1,1,1,1,1
"Smoking_PY",0.101619515873358,0.000771664087590646,2.78459126712089e-13,0.65441771234589,0.781191346990686,1.34801616998788e-13,0.0095562975165221,0,1,8.05601815739584e-31,6.95703061614397e-08,1,1,1,1,1.41401737753575e-72,1.34996053553974e-33,1,1,1,1,1,4.16227298395788e-51,1,6.00761610556766e-06,1,1,1,1
"Stage_numeric",6.69642225478169e-10,0.0465865516776083,7.64896317140148e-31,0.100688988614877,1.30099807485556e-05,2.21833404776632e-20,0.727005741540768,0.64635688323862,0,9.90948179768355e-06,1.22812492966644e-09,1,1.62216430803986e-07,1,1,1,1,1,1,1,0.00903380019534261,1,1,6.41982915230556e-08,1,1,1,1,1
"HPV_Positive",0.00593796216921157,3.20491760312618e-23,2.11936509232958e-42,3.13124336441895e-08,0.00952568331601735,3.52059686045941e-102,0.130783831130981,1.98424092546696e-33,2.44075906346886e-08,0,3.4046444380575e-133,8.33270598092533e-06,1,1,1,1.30549769649129e-113,3.93115002426543e-41,1.67471888720608e-11,1,0.0628671140137883,6.183691997321e-20,1,0.000110946654739838,1,2.98839512606816e-72,1.26080967040668e-20,0.422911878956669,0.364718644869907,1
"HPV_Unknown",3.66980147049964e-05,4.80805756231137e-23,5.3307348228441e-68,1.69577991946658e-17,0.0081988143767961,3.52050383343271e-163,0.20703642526743,1.71355433895172e-10,3.02493825040996e-12,8.38582373905788e-136,0,8.04413056644472e-11,1,1,1,5.25761377184639e-36,1.13049809398604e-10,1.97990507614116e-15,5.74204261183264e-06,3.70280492132833e-06,2.62664072694503e-11,1,1,1,9.54214609010491e-23,6.24478645250926e-24,1,1,1
"RT_year",0.523706108437611,0.0392932088051894,0.561999386412257,0.0135868528927228,0.135645797431851,0.150872182578691,0.103977831059057,0.159445974644177,0.29262815218615,2.05239063569589e-08,1.98131294740018e-13,0,1,1,2.91822883963258e-10,3.72440472768142e-14,5.21587199843836e-19,1,1,1,1,1,1,1,1,1,6.12292986882331e-45,1,0.0250731892874084
"Age",5.14822292347768e-05,0.000191508515894571,0.408344162709242,0.374690368559526,0.024381208322901,0.000727111672644685,0.275366624786971,0.00399977075674683,3.99547859123118e-10,0.00693338783551895,0.0131839882822616,0.136905565914183,0,0.000708196713365775,3.18292165364731e-10,5.50372182734948e-34,1.16882036506548e-10,1,1,1,1,1,1,1,1,1,1,1.53545818242712e-51,0.00095355846802086
"BED_DI",0.849646213746929,0.895324022440023,0.587834781805039,0.684532698277665,0.535271787622012,0.74710803265567,0.338050518747495,0.172878860926031,0.238736898648811,0.901475302791435,0.906844144048596,0.739769505208838,1.74432688021127e-06,0,2.46641359039129e-46,1,1,1,1,1,1,1,1,1,1,1,1,0.481814180380123,3.00576871819514e-09
"BED_DD",0.562572109042242,0.234804683673018,0.571189330891706,0.214499860349505,0.00745079380612914,0.886596204818664,0.0155438603337058,0.398973574708524,0.723474308872783,0.417998971621399,0.719977620385076,7.18775576264183e-13,7.83970850652047e-13,6.07491032116082e-49,0,0.477958704883602,1,1,1,1,1,1,1,1,1,1,1,0.000505255839319248,2.51091936630507e-63
"predictions",0.198338044993571,7.97301458367818e-13,4.24538941802336e-13,0.0124340591292906,0.075226852153987,8.39646613588426e-33,0.00424398356371712,3.48280142250185e-75,0.757694661853474,3.21551156771254e-116,1.29497876153852e-38,9.17341065931385e-17,1.35559650919938e-36,0.0186415420675008,0.00117723818936848,0,4.26924412453301e-56,1.77910771795439e-07,1,1,4.46834378362172e-18,1,6.47915731208981e-27,1,5.00735139213846e-34,2.62656421108041e-18,1.95037799657493e-20,1.74546064389193e-34,1
"variance.estimates",0.0243405034661297,2.48861919657296e-08,0.0346528982868859,0.00266909032513977,0.467745829931426,1.45160849444856e-10,0.640736680999849,3.32502594960528e-36,0.170694072824411,9.68263552774736e-44,2.78447806400501e-13,1.28469753656117e-21,2.87886789424995e-13,0.213898022250399,0.819033440531539,1.05153796170764e-58,0,0.0144430075382991,1,1,0.842270245760162,1,3.67060433009169e-08,1,5.2380656597819e-09,0.997388203348857,0.0025345821497307,0.07752335692271,1
"Ds_Site_Hypopharynx_SHAP",0.637370728760415,2.38070589299507e-202,0.000703781372656049,0.0971132431972329,0.574712061022732,1.32629212627049e-34,0.273302357163344,0.0112348946121426,0.433188283377055,4.12492336750266e-14,4.8766134880324e-18,0.0111211141229403,0.00430520273283497,0.28405949681719,0.861806466291066,4.38203871417337e-10,3.55739101928549e-05,0,2.94873413499563e-07,1,4.23052018494384e-23,1,0.0001049150414156,0.0476534387990129,1.717994791794e-20,4.85284301162501e-11,0.492735070390824,1,1
