"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"Ds_Site_Esophagus",0,1,1,1,1,0.0118624907722893,1,1,7.09713177307426e-07,1,0.0148993939702286,1,0.705047004337325,1,1,1,1,1,1,1,1,1,1,0.713398340497837,1,1,1,1,1
"Ds_Site_Hypopharynx",0.470572577326573,0,0.0772376684117791,1,1,4.39260009112061e-64,1,0.0182000054121694,1,1.30119654686923e-20,1.95207137029842e-20,1,0.0417132441179552,1,1,4.05210780568755e-12,5.53572518408039e-06,1.58203239994027e-50,6.12434951566602e-14,2.77234339006448e-18,3.33560936299523e-07,1,0.204879606164799,0.186926329747734,9.3013353732665e-10,0.045532631246416,1,1,1
"Ds_Site_Larynx",0.335880402901077,0.000190240562590589,0,1,1,1.35195835645236e-131,1,6.2683559716592e-09,6.71701095200231e-27,8.60462227485811e-40,2.1642783380747e-65,1,1,1,1,5.08781775664515e-12,1,4.45632781575608e-11,9.00823321397778e-13,1.67331966500381e-09,2.03180576554875e-15,0.000495969524148307,0.000123169367586164,0.000283433967483804,1.90618812168363e-20,1.91476432028668e-09,1,1,3.8714114199811e-07
"Ds_Site_Lip_Oral_Cavity",0.689157162747666,0.121846985592948,0.0390113945073396,0,1,3.74678975595369e-17,1,1,1,1.2712848059541e-05,6.88486647303432e-15,1,1,1,1,1,1,1,0.200305973260528,2.78064371045127e-14,1,1,1,1,0.0046368912517908,1,1,1,1
"Ds_Site_Nasal_Cavity",0.774723650047388,0.268447123989725,0.139905961480698,0.539604491852948,0,4.66109488368006e-08,0.0317663925853279,1,0.0429862357698923,1,1,1,1,1,1,1,1,1,1,1,2.28236574529133e-05,1,1,1,1,1,1,1,1
"Ds_Site_Oropharynx",2.92179575672149e-05,1.08192120470951e-66,3.32994669076936e-134,9.22854619693027e-20,1.14805292701479e-10,0,1,1.073266584664e-10,9.05693846211911e-17,1.42936232534652e-99,1.42932455637335e-160,1,0.10924745620955,1,1,2.81773000119895e-34,5.65974359220791e-10,0.575933812134578,1,1.70661948725978e-17,5.44947472839162e-38,6.09591374625245e-05,3.26906477225807e-07,1,1.19818003409284e-49,3.78703800252678e-21,1,1,4.00497311488297e-09
"Sex",0.959628975635375,0.0507235755968364,0.58871125520828,0.0912812636926753,7.82423462692804e-05,0.991023466839927,0,1,1,1,1,1,1,1,1,1,1,3.73245542326635e-13,1,1,0.000119704949842559,1.49782234689276e-117,1,1,1,1,1,1,1
"Smoking_PY",0.0796671501378041,4.4827599537363e-05,1.54393004228059e-11,0.385825266175274,0.596736587635993,2.64351375533006e-13,0.0112092739659248,0,1,1.66112319816771e-32,6.71945107466612e-07,1,1,1,1,4.37810040067104e-85,4.31574769577305e-30,5.25782680692023e-23,2.51199022280095e-28,0.000478261553288185,3.58684357353095e-05,1.21167581360655e-06,0,1.08053585848096e-09,1.51461765275125e-25,8.06941781775575e-12,1,1,2.01684570192845e-14
"Stage_numeric",1.74806201307248e-09,0.0716844147054598,1.65443619507446e-29,0.0942368623202784,0.000105877428004661,2.23077302022638e-19,0.917304123178243,0.395391082564822,0,3.04248959506124e-06,7.71466897014466e-10,1,0.212462140827333,1,1,1,1,1,1,1,4.69354574336782e-05,1,1,1.58304948542144e-85,0.00629191342410008,0.0531365601311591,1,0.683156162538189,1
"HPV_Positive",0.00593796216921159,3.20491760312618e-23,2.11936509232958e-42,3.13124336441896e-08,0.00952568331601735,3.52059686045941e-102,0.130783831130981,4.09143644868894e-35,7.49381673660405e-09,0,3.40464443805827e-133,3.50401625010003e-06,1,1,1,1.318337252978e-127,1.19909841491593e-46,1,2.84346604105984e-18,2.20450366895008e-21,1.14422571266074e-48,6.53453952140243e-37,7.09774836679767e-27,2.93727896842487e-05,4.9066139648968e-270,4.72072081012916e-59,1.7630841645375e-08,0.566246040482163,2.79350629861534e-12
"HPV_Unknown",3.66980147049964e-05,4.80805756231137e-23,5.3307348228441e-68,1.69577991946658e-17,0.0081988143767961,3.52050383343191e-163,0.20703642526743,1.6550372105089e-09,1.90016477097159e-12,8.38582373905979e-136,0,6.84735174115136e-11,1,1,1,1.87493757345078e-40,5.63825799753677e-13,1,1,4.2111435081813e-52,6.42434051612478e-21,2.07673465968393e-16,0.000222919924238073,1,3.55343874338899e-66,2.24460264277422e-43,1.75078708955027e-05,1,7.25490642781374e-19
"RT_year",0.538062656548926,0.0344246401559074,0.720288089854898,0.0134670036187746,0.13757916436776,0.100661936268285,0.0899511703327867,0.414159506967819,0.544957892110901,8.6305818967981e-09,1.68653983772201e-13,0,1,1,3.20417654797975e-10,1.69599291271391e-19,5.02296378397064e-17,1.27033730728671e-13,2.87411671519728e-31,0.306088486618064,6.665826297028e-10,1,1,3.15060532978402e-05,0.0216677442243203,2.83942156412519e-14,8.90227154203667e-186,1,1.46767516667873e-96
"Age",0.00173656897620031,0.000102741980586097,0.202679726872023,0.343210229094013,0.0155144809449402,0.000269082404457021,0.514285464814074,0.00837031930646765,0.000523305765584563,0.00344119918424181,0.0142905578557193,0.18753288628967,0,1,5.25032404946525e-08,2.72838188196398e-32,7.68382073159077e-08,2.46883666675261e-09,1,0.0143492266062794,0.00223754937656484,0.000558378664414784,1,2.47027990351682e-10,0.000110729756269808,1,1,2.45435934607921e-193,1
"BED_DI",0.960643418805336,0.847637841927376,0.540026049496276,0.915776294149235,0.307387779135648,0.708879317397722,0.0843612919249726,0.0716193953286467,0.285452590394611,0.940722549492831,0.633255433296319,0.008759035472957,0.10515779217047,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BED_DD",0.560343062137423,0.200167159093158,0.655716971548249,0.211892061209073,0.0122380404123239,0.732718401193147,0.00951831406686007,0.325633905974958,0.755990361618923,0.282975620153006,0.662516648372997,7.89206046300431e-13,1.29318326341509e-10,0.889095404903847,0,1,1,0.0499005055544043,1,1,1,1,1,1,1,1,1,1.22237954947445e-05,1.28303666467334e-34
"predictions",0.203456277848482,9.98056109775258e-15,1.25315708291753e-14,0.0129089353141381,0.0762045688013083,6.94022167782993e-37,0.00289925184068481,1.07834985238203e-87,0.286993715691074,3.24713609107881e-130,4.61807284101177e-43,4.17732244510816e-22,6.72015241863049e-35,0.159410140027798,0.00525004630256231,0,3.29687018891651e-55,1,2.17912375410963e-67,3.13424067276979e-16,8.74035365849904e-64,0.00780421363563488,1.0955409060225e-96,1.01815371882301e-18,3.39281840203861e-147,1.01207162277642e-70,9.70586033574378e-69,1.02409514974425e-68,4.17322652826977e-39
"variance.estimates",0.0309379461469001,1.36347910937941e-08,0.00445862193825482,0.00267050518305374,0.566581646226765,1.39402551532215e-12,0.956833318332169,1.06299204329386e-32,0.289493064502266,2.95344437171411e-49,1.38873349693024e-15,1.23718319802233e-19,1.89256668265782e-10,0.246511670070497,0.613513883204207,8.12036992343968e-58,0,1,1.01588051826517e-29,2.05695198454478e-05,6.28453668035356e-20,2.08695930860146e-07,7.76676201036986e-33,0.00046772857698396,2.35190560728128e-45,3.3595208325994e-28,3.20172659160757e-17,0.0363469908345762,1.55102326740667e-11
"Ds_Site_Hypopharynx_SHAP",0.405773535419033,3.89663152694647e-53,1.09761768860987e-13,0.0216779745644895,0.0253541643370652,0.00141855618752359,9.19323995878412e-16,1.29503123323158e-25,0.0964465900329853,0.345186466249257,0.00845525580601534,3.12890962385888e-16,6.08087848953845e-12,0.458414927007251,0.000122907649148779,0.0030697450371127,0.0728913922492233,0,1,1,1.26353355361828e-07,2.20461745818319e-30,2.53003136776924e-14,1,0.0134937900477549,1,1,5.94695358276338e-21,0.0001732879921953
"Ds_Site_Larynx_SHAP",0.315402596372454,1.50846047183892e-16,2.21877665368911e-15,0.000493364466158935,0.272111208159398,0.496039728526079,0.76840541551329,6.18716803645554e-31,0.0307025618929634,7.00361093857104e-21,0.0108063625262878,7.07910520984552e-34,0.0194482466467611,0.519183001407841,0.526263940398549,5.36729988696952e-70,2.50216876419994e-32,0.331594639490234,0,1,1.45637377338928e-24,0.171011278264742,1.01437084245705e-37,2.89004504166659e-19,1.62162302230496e-21,4.19336672641673e-37,1.49167520033245e-38,0.106608913087409,1.51538052634516e-21
"Ds_Site_Lip_Oral_Cavity_SHAP",0.00700407511821345,6.82843199523272e-21,4.12147700739855e-12,6.84887613411642e-17,0.0519965636405701,4.20349627403887e-20,0.188041647263799,1.17798412139947e-06,0.0804373155842233,5.42981199248787e-24,1.03722746506929e-54,0.000753912528615921,3.53429226755651e-05,0.117158952586192,0.74556058563366,7.71980461273348e-19,5.06638419838615e-08,0.13059545914684,0.080838676211624,0,0.0699583057556377,2.22078050503115e-11,0.00141379138430019,0.0406930886645948,3.24627986426842e-08,6.73821718565257e-05,0.813967545279783,3.5327439905807e-05,1
